Team 1 VS Team 2,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Match Link,Ground Link
Sri Lanka VS West Indies,Sri Lanka,West Indies,West Indies,91 runs,Berri,"Mar 13, 1992",ODI # 742,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/sri-lanka-vs-west-indies-29th-match-65146/full-scorecard,https://www.espncricinfo.com/cricket-grounds/berri-oval-56326
England VS South Africa,England,South Africa,England,3 wickets,Melbourne,"Mar 12, 1992",ODI # 741,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/england-vs-south-africa-28th-match-65145/full-scorecard,https://www.espncricinfo.com/cricket-grounds/melbourne-cricket-ground-56441
New Zealand VS India,New Zealand,India,New Zealand,4 wickets,Dunedin,"Mar 12, 1992",ODI # 740,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/new-zealand-vs-india-27th-match-65144/full-scorecard,https://www.espncricinfo.com/cricket-grounds/carisbrook-dunedin-58822
Australia VS Pakistan,Australia,Pakistan,Pakistan,48 runs,Perth,"Mar 11, 1992",ODI # 739,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/australia-vs-pakistan-26th-match-65143/full-scorecard,https://www.espncricinfo.com/cricket-grounds/w-a-c-a-ground-perth-56490
South Africa VS Zimbabwe,South Africa,Zimbabwe,South Africa,7 wickets,Canberra,"Mar 10, 1992",ODI # 738,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/south-africa-vs-zimbabwe-25th-match-65142/full-scorecard,https://www.espncricinfo.com/cricket-grounds/manuka-oval-canberra-56370
India VS West Indies,India,West Indies,West Indies,5 wickets,Wellington,"Mar 10, 1992",ODI # 737,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/india-vs-west-indies-24th-match-65141/full-scorecard,https://www.espncricinfo.com/cricket-grounds/basin-reserve-wellington-58895
England VS Sri Lanka,England,Sri Lanka,England,106 runs,Ballarat,"Mar 9, 1992",ODI # 736,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/england-vs-sri-lanka-23rd-match-65140/full-scorecard,https://www.espncricinfo.com/cricket-grounds/eastern-oval-ballarat-56322
Pakistan VS South Africa,Pakistan,South Africa,South Africa,20 runs,Brisbane,"Mar 8, 1992",ODI # 735,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/pakistan-vs-south-africa-22nd-match-65139/full-scorecard,https://www.espncricinfo.com/cricket-grounds/brisbane-cricket-ground-woolloongabba-brisbane-56336
New Zealand VS West Indies,New Zealand,West Indies,New Zealand,5 wickets,Auckland,"Mar 8, 1992",ODI # 734,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/new-zealand-vs-west-indies-21st-match-65138/full-scorecard,https://www.espncricinfo.com/cricket-grounds/eden-park-auckland-58792
Australia VS Sri Lanka,Australia,Sri Lanka,Australia,7 wickets,Adelaide,"Mar 7, 1992",ODI # 733,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/australia-vs-sri-lanka-20th-match-65137/full-scorecard,https://www.espncricinfo.com/cricket-grounds/adelaide-oval-56293
India VS Zimbabwe,India,Zimbabwe,India,55 runs,Hamilton,"Mar 7, 1992",ODI # 732,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/india-vs-zimbabwe-19th-match-65136/full-scorecard,https://www.espncricinfo.com/cricket-grounds/seddon-park-hamilton-58831
Australia VS England,Australia,England,England,8 wickets,Sydney,"Mar 5, 1992",ODI # 731,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/australia-vs-england-18th-match-65135/full-scorecard,https://www.espncricinfo.com/cricket-grounds/sydney-cricket-ground-56544
South Africa VS West Indies,South Africa,West Indies,South Africa,64 runs,Christchurch,"Mar 5, 1992",ODI # 730,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/south-africa-vs-west-indies-17th-match-65134/full-scorecard,https://www.espncricinfo.com/cricket-grounds/ami-stadium-christchurch-58812
India VS Pakistan,India,Pakistan,India,43 runs,Sydney,"Mar 4, 1992",ODI # 729,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/india-vs-pakistan-16th-match-65133/full-scorecard,https://www.espncricinfo.com/cricket-grounds/sydney-cricket-ground-56544
New Zealand VS Zimbabwe,New Zealand,Zimbabwe,New Zealand,48 runs,Napier,"Mar 3, 1992",ODI # 728,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/new-zealand-vs-zimbabwe-15th-match-65132/full-scorecard,https://www.espncricinfo.com/cricket-grounds/mclean-park-napier-58857
South Africa VS Sri Lanka,South Africa,Sri Lanka,Sri Lanka,3 wickets,Wellington,"Mar 2, 1992",ODI # 727,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/south-africa-vs-sri-lanka-14th-match-65131/full-scorecard,https://www.espncricinfo.com/cricket-grounds/basin-reserve-wellington-58895
England VS Pakistan,England,Pakistan,no result,-,Adelaide,"Mar 1, 1992",ODI # 726,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/england-vs-pakistan-13th-match-65130/full-scorecard,https://www.espncricinfo.com/cricket-grounds/adelaide-oval-56293
Australia VS India,Australia,India,Australia,1 run,Brisbane,"Mar 1, 1992",ODI # 725,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/australia-vs-india-12th-match-65129/full-scorecard,https://www.espncricinfo.com/cricket-grounds/brisbane-cricket-ground-woolloongabba-brisbane-56336
West Indies VS Zimbabwe,West Indies,Zimbabwe,West Indies,75 runs,Brisbane,"Feb 29, 1992",ODI # 724,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/west-indies-vs-zimbabwe-11th-match-65128/full-scorecard,https://www.espncricinfo.com/cricket-grounds/brisbane-cricket-ground-woolloongabba-brisbane-56336
New Zealand VS South Africa,New Zealand,South Africa,New Zealand,7 wickets,Auckland,"Feb 29, 1992",ODI # 723,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/new-zealand-vs-south-africa-10th-match-65127/full-scorecard,https://www.espncricinfo.com/cricket-grounds/eden-park-auckland-58792
India VS Sri Lanka,India,Sri Lanka,no result,-,Mackay,"Feb 28, 1992",ODI # 722,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/india-vs-sri-lanka-9th-match-65126/full-scorecard,https://www.espncricinfo.com/cricket-grounds/great-barrier-reef-arena-mackay-56430
England VS West Indies,England,West Indies,England,6 wickets,Melbourne,"Feb 27, 1992",ODI # 721,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/england-vs-west-indies-8th-match-65125/full-scorecard,https://www.espncricinfo.com/cricket-grounds/melbourne-cricket-ground-56441
Pakistan VS Zimbabwe,Pakistan,Zimbabwe,Pakistan,53 runs,Hobart,"Feb 27, 1992",ODI # 720,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/pakistan-vs-zimbabwe-7th-match-65124/full-scorecard,https://www.espncricinfo.com/cricket-grounds/bellerive-oval-hobart-56407
Australia VS South Africa,Australia,South Africa,South Africa,9 wickets,Sydney,"Feb 26, 1992",ODI # 719,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/australia-vs-south-africa-6th-match-65123/full-scorecard,https://www.espncricinfo.com/cricket-grounds/sydney-cricket-ground-56544
New Zealand VS Sri Lanka,New Zealand,Sri Lanka,New Zealand,6 wickets,Hamilton,"Feb 25, 1992",ODI # 718,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/new-zealand-vs-sri-lanka-5th-match-65122/full-scorecard,https://www.espncricinfo.com/cricket-grounds/seddon-park-hamilton-58831
Pakistan VS West Indies,Pakistan,West Indies,West Indies,10 wickets,Melbourne,"Feb 23, 1992",ODI # 717,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/pakistan-vs-west-indies-4th-match-65121/full-scorecard,https://www.espncricinfo.com/cricket-grounds/melbourne-cricket-ground-56441
Sri Lanka VS Zimbabwe,Sri Lanka,Zimbabwe,Sri Lanka,3 wickets,New Plymouth,"Feb 23, 1992",ODI # 716,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/sri-lanka-vs-zimbabwe-3rd-match-65120/full-scorecard,https://www.espncricinfo.com/cricket-grounds/pukekura-park-new-plymouth-58865
England VS India,England,India,England,9 runs,Perth,"Feb 22, 1992",ODI # 715,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/england-vs-india-2nd-match-65119/full-scorecard,https://www.espncricinfo.com/cricket-grounds/w-a-c-a-ground-perth-56490
New Zealand VS Australia,New Zealand,Australia,New Zealand,37 runs,Auckland,"Feb 22, 1992",ODI # 714,https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/new-zealand-vs-australia-1st-match-65118/full-scorecard,https://www.espncricinfo.com/cricket-grounds/eden-park-auckland-58792
