VS,Batting, ,Batting Possition,Match Id,Teaminnings,R,B,M,4s,6s,SR
England VS Kenya,Tanmay Mishra , b Collingwood,5,ODI # 2553,Kenya,0,3,2,0,0,0.00
England VS Kenya,Collins Obuya ,run out (Bopara/Panesar),6,ODI # 2553,Kenya,10,13,20,2,0,76.92
England VS Kenya,Thomas Odoyo ,lbw b Flintoff,7,ODI # 2553,Kenya,4,11,14,0,0,36.36
England VS Kenya,Jimmy Kamande , b Collingwood,8,ODI # 2553,Kenya,17,28,31,2,0,60.71
England VS Kenya,Lameck Onyango ,run out (†Nixon),9,ODI # 2553,Kenya,10,18,27,0,0,55.55
England VS Kenya,Peter Ongondo ,run out (Vaughan),10,ODI # 2553,Kenya,3,3,2,0,0,100.00
England VS Kenya,Hiren Varaiya ,not out ,11,ODI # 2553,Kenya,4,7,5,0,0,57.14
England VS Kenya,Ed Joyce , b Tikolo,1,ODI # 2553,England,75,90,122,9,1,83.33
England VS Kenya,Michael Vaughan (c),c Obuya b Ongondo,2,ODI # 2553,England,1,4,12,0,0,25.00
England VS Kenya,Ian Bell ,c sub (RL Bhudia) b Odoyo,3,ODI # 2553,England,16,18,24,2,0,88.88
England VS Kenya,Kevin Pietersen ,not out ,4,ODI # 2553,England,56,72,95,5,1,77.77
England VS Kenya,Paul Collingwood ,not out ,5,ODI # 2553,England,18,17,14,3,0,105.88
West Indies VS Ireland,Jeremy Bray ,c sub (LMP Simmons) b Taylor,1,ODI # 2551,Ireland,41,72,105,7,0,56.94
West Indies VS Ireland,William Porterfield ,c Gayle b Powell,2,ODI # 2551,Ireland,0,2,7,0,0,0.00
West Indies VS Ireland,Eoin Morgan ,c †Ramdin b Powell,3,ODI # 2551,Ireland,18,34,66,0,1,52.94
West Indies VS Ireland,Niall O'Brien †,c †Ramdin b Bradshaw,4,ODI # 2551,Ireland,11,19,21,2,0,57.89
West Indies VS Ireland,Andre Botha ,c †Ramdin b Gayle,5,ODI # 2551,Ireland,28,56,76,1,1,50.00
West Indies VS Ireland,Kevin O'Brien ,c Sarwan b Gayle,6,ODI # 2551,Ireland,17,46,51,1,0,36.95
West Indies VS Ireland,Andrew White , b Bravo,7,ODI # 2551,Ireland,18,29,33,0,0,62.06
West Indies VS Ireland,Kyle McCallan (c),not out ,8,ODI # 2551,Ireland,20,24,29,2,0,83.33
West Indies VS Ireland,John Mooney ,c †Ramdin b Bravo,9,ODI # 2551,Ireland,0,1,1,0,0,0.00
West Indies VS Ireland,Dave Langford-Smith ,not out ,10,ODI # 2551,Ireland,8,7,8,1,0,114.28
West Indies VS Ireland,Chris Gayle ,c White b Langford-Smith,1,ODI # 2551,West Indies,18,14,20,3,0,128.57
West Indies VS Ireland,Shivnarine Chanderpaul ,not out ,2,ODI # 2551,West Indies,102,113,161,10,4,90.26
West Indies VS Ireland,Ramnaresh Sarwan ,c KJ O'Brien b McCallan,3,ODI # 2551,West Indies,36,71,97,2,1,50.70
West Indies VS Ireland,Marlon Samuels ,not out ,4,ODI # 2551,West Indies,27,31,41,2,2,87.09
India VS Sri Lanka,Upul Tharanga ,lbw b Tendulkar,1,ODI # 2550,Sri Lanka,64,90,154,6,0,71.11
India VS Sri Lanka,Sanath Jayasuriya ,c Agarkar b Khan,2,ODI # 2550,Sri Lanka,6,23,33,0,0,26.08
India VS Sri Lanka,Mahela Jayawardene (c),c †Dhoni b Agarkar,3,ODI # 2550,Sri Lanka,7,20,27,1,0,35.00
India VS Sri Lanka,Kumar Sangakkara †,c Patel b Ganguly,4,ODI # 2550,Sri Lanka,15,35,50,2,0,42.85
India VS Sri Lanka,Chamara Silva ,c †Dhoni b Khan,5,ODI # 2550,Sri Lanka,59,68,99,5,0,86.76
India VS Sri Lanka,Tillakaratne Dilshan ,c †Dhoni b Patel,6,ODI # 2550,Sri Lanka,38,41,53,3,0,92.68
India VS Sri Lanka,Russel Arnold ,not out ,7,ODI # 2550,Sri Lanka,19,13,21,3,0,146.15
India VS Sri Lanka,Chaminda Vaas ,not out ,8,ODI # 2550,Sri Lanka,19,12,17,2,1,158.33
India VS Sri Lanka,Robin Uthappa ,c & b Vaas,1,ODI # 2550,India,18,27,30,3,0,66.66
India VS Sri Lanka,Sourav Ganguly ,c Muralidaran b Vaas,2,ODI # 2550,India,7,23,51,0,0,30.43
India VS Sri Lanka,Virender Sehwag ,c Jayawardene b Muralidaran,3,ODI # 2550,India,48,46,79,5,1,104.34
India VS Sri Lanka,Sachin Tendulkar , b Fernando,4,ODI # 2550,India,0,3,5,0,0,0.00
India VS Sri Lanka,Rahul Dravid (c),c Muralidaran b Jayasuriya,5,ODI # 2550,India,60,82,111,6,0,73.17
India VS Sri Lanka,Yuvraj Singh ,run out (Arnold/Jayasuriya),6,ODI # 2550,India,6,12,15,0,0,50.00
India VS Sri Lanka,MS Dhoni †,lbw b Muralidaran,7,ODI # 2550,India,0,1,3,0,0,0.00
India VS Sri Lanka,Ajit Agarkar ,c Arnold b Malinga,8,ODI # 2550,India,10,25,25,0,0,40.00
India VS Sri Lanka,Harbhajan Singh ,not out ,9,ODI # 2550,India,17,20,38,1,1,85.00
India VS Sri Lanka,Zaheer Khan ,c Malinga b Muralidaran,10,ODI # 2550,India,1,5,6,0,0,20.00
India VS Sri Lanka,Munaf Patel ,c Vaas b Dilshan,11,ODI # 2550,India,10,17,18,1,0,58.82
Canada VS New Zealand,Lou Vincent ,c & b Davison,1,ODI # 2548,New Zealand,101,117,178,9,1,86.32
Canada VS New Zealand,Stephen Fleming (c),c Billcliff b Sandher,2,ODI # 2548,New Zealand,66,67,96,8,1,98.50
Canada VS New Zealand,Peter Fulton ,lbw b Sandher,3,ODI # 2548,New Zealand,47,47,50,4,1,100.00
Canada VS New Zealand,Scott Styris ,c †Bagai b Samad,4,ODI # 2548,New Zealand,28,17,12,6,0,164.70
Canada VS New Zealand,Craig McMillan ,c Samad b Davison,5,ODI # 2548,New Zealand,10,6,4,1,0,166.66
Canada VS New Zealand,Jacob Oram ,not out ,6,ODI # 2548,New Zealand,35,27,36,0,3,129.62
Canada VS New Zealand,Brendon McCullum †,not out ,7,ODI # 2548,New Zealand,52,21,27,1,5,247.61
Canada VS New Zealand,John Davison (c),c & b Mason,1,ODI # 2548,Canada,52,31,44,9,1,167.74
Canada VS New Zealand,Geoff Barnett ,c †McCullum b Vettori,2,ODI # 2548,Canada,40,72,93,5,0,55.55
Canada VS New Zealand,Ashish Bagai †, b Vettori,3,ODI # 2548,Canada,37,64,95,3,0,57.81
Canada VS New Zealand,Ian Billcliff , b Styris,4,ODI # 2548,Canada,50,56,57,4,0,89.28
Canada VS New Zealand,Abdool Samad ,run out (Vincent),5,ODI # 2548,Canada,9,17,18,1,0,52.94
Canada VS New Zealand,Ashif Mulla ,lbw b Vettori,6,ODI # 2548,Canada,0,2,2,0,0,0.00
Canada VS New Zealand,Sunil Dhaniram ,retired hurt ,7,ODI # 2548,Canada,17,19,21,1,1,89.47
Canada VS New Zealand,Umar Bhatti , b Patel,8,ODI # 2548,Canada,10,28,35,1,0,35.71
Canada VS New Zealand,Anderson Cummins ,not out ,9,ODI # 2548,Canada,9,8,20,1,0,112.50
Canada VS New Zealand,Kevin Sandher , b Patel,10,ODI # 2548,Canada,2,6,5,0,0,33.33
Canada VS New Zealand,Henry Osinde , b Patel,11,ODI # 2548,Canada,0,1,1,0,0,0.00
Netherlands VS Scotland,Navdeep Poonia ,c †Smits b Stelling,1,ODI # 2549,Scotland,0,2,2,0,0,0.00
Netherlands VS Scotland,Majid Haq , b Reekers,2,ODI # 2549,Scotland,6,15,10,1,0,40.00
Netherlands VS Scotland,Ryan Watson ,c & b de Leede,3,ODI # 2549,Scotland,16,37,52,3,0,43.24
Netherlands VS Scotland,Gavin Hamilton ,lbw b Stelling,4,ODI # 2549,Scotland,4,13,10,0,0,30.76
Netherlands VS Scotland,Dougie Brown ,lbw b Stelling,5,ODI # 2549,Scotland,0,1,2,0,0,0.00
Netherlands VS Scotland,Neil McCallum ,c Stelling b Jonkman,6,ODI # 2549,Scotland,24,43,68,3,1,55.81
Netherlands VS Scotland,Colin Smith †, b Jonkman,7,ODI # 2549,Scotland,19,23,30,4,0,82.60
Netherlands VS Scotland,Craig Wright (c),st †Smits b Mohammad Kashif,8,ODI # 2549,Scotland,1,7,12,0,0,14.28
Netherlands VS Scotland,John Blain ,not out ,9,ODI # 2549,Scotland,18,28,49,1,1,64.28
Netherlands VS Scotland,Glenn Rogers ,c †Smits b Mohammad Kashif,10,ODI # 2549,Scotland,26,30,27,5,0,86.66
Netherlands VS Scotland,Paul Hoffmann ,c ten Doeschate b van Bunge,11,ODI # 2549,Scotland,7,8,13,1,0,87.50
Netherlands VS Scotland,Bas Zuiderent ,not out ,1,ODI # 2549,Netherlands,43,56,96,6,0,76.78
Netherlands VS Scotland,Darron Reekers ,c Wright b Blain,2,ODI # 2549,Netherlands,9,8,11,2,0,112.50
Netherlands VS Scotland,Eric Szwarczynski ,c †Smith b Blain,3,ODI # 2549,Netherlands,12,11,11,3,0,109.09
Netherlands VS Scotland,Ryan ten Doeschate ,not out ,4,ODI # 2549,Netherlands,70,68,64,13,1,102.94
Pakistan VS Zimbabwe,Kamran Akmal †,c †Taylor b Chigumbura,1,ODI # 2547,Pakistan,15,26,30,2,0,57.69
Pakistan VS Zimbabwe,Imran Nazir ,c Matsikenyeri b Mpofu,2,ODI # 2547,Pakistan,160,121,201,14,8,132.23
Pakistan VS Zimbabwe,Shoaib Malik ,c Chibhabha b Williams,3,ODI # 2547,Pakistan,21,32,51,2,1,65.62
Pakistan VS Zimbabwe,Inzamam-ul-Haq (c),c Williams b Mupariwa,4,ODI # 2547,Pakistan,37,35,32,2,3,105.71
Pakistan VS Zimbabwe,Mohammad Yousuf ,c & b Brent,5,ODI # 2547,Pakistan,3,10,12,0,0,30.00
Pakistan VS Zimbabwe,Younis Khan ,run out (Mpofu/†Taylor),6,ODI # 2547,Pakistan,28,31,41,1,1,90.32
Pakistan VS Zimbabwe,Shahid Afridi , b Brent,7,ODI # 2547,Pakistan,16,10,14,1,1,160.00
Pakistan VS Zimbabwe,Mohammad Sami ,c Utseya b Brent,8,ODI # 2547,Pakistan,5,10,12,0,0,50.00
Pakistan VS Zimbabwe,Iftikhar Anjum ,c Matsikenyeri b Chigumbura,9,ODI # 2547,Pakistan,32,16,25,2,2,200.00
Pakistan VS Zimbabwe,Umar Gul , b Chigumbura,10,ODI # 2547,Pakistan,10,6,9,2,0,166.66
Pakistan VS Zimbabwe,Danish Kaneria ,not out ,11,ODI # 2547,Pakistan,6,4,9,1,0,150.00
Pakistan VS Zimbabwe,Vusi Sibanda ,c Imran Nazir b Umar Gul,1,ODI # 2547,Zimbabwe,0,2,2,0,0,0.00
Pakistan VS Zimbabwe,Chamu Chibhabha ,c Inzamam-ul-Haq b Umar Gul,2,ODI # 2547,Zimbabwe,3,8,22,0,0,37.50
Pakistan VS Zimbabwe,Friday Kasteni ,c Inzamam-ul-Haq b Mohammad Sami,3,ODI # 2547,Zimbabwe,9,23,22,0,0,39.13
Pakistan VS Zimbabwe,Brendan Taylor †,c Younis Khan b Danish Kaneria,4,ODI # 2547,Zimbabwe,13,17,31,1,0,76.47
Pakistan VS Zimbabwe,Stuart Matsikenyeri ,run out (†Kamran Akmal),5,ODI # 2547,Zimbabwe,18,25,31,3,0,72.00
Pakistan VS Zimbabwe,Elton Chigumbura , b Shahid Afridi,6,ODI # 2547,Zimbabwe,27,11,11,0,4,245.45
Pakistan VS Zimbabwe,Sean Williams ,c Umar Gul b Danish Kaneria,7,ODI # 2547,Zimbabwe,11,9,15,0,1,122.22
Pakistan VS Zimbabwe,Gary Brent , b Shahid Afridi,8,ODI # 2547,Zimbabwe,9,9,9,0,1,100.00
Pakistan VS Zimbabwe,Prosper Utseya (c),not out ,9,ODI # 2547,Zimbabwe,4,5,5,0,0,80.00
Pakistan VS Zimbabwe,Tawanda Mupariwa , b Shahid Afridi,10,ODI # 2547,Zimbabwe,0,3,3,0,0,0.00
Pakistan VS Zimbabwe,Chris Mpofu ,c Inzamam-ul-Haq b Mohammad Yousuf,11,ODI # 2547,Zimbabwe,1,5,5,0,0,20.00
Bangladesh VS Sri Lanka,Upul Tharanga ,c Aftab Ahmed b Mohammad Rafique,1,ODI # 2546,Sri Lanka,26,37,68,3,0,70.27
Bangladesh VS Sri Lanka,Sanath Jayasuriya ,c Habibul Bashar b Abdur Razzak,2,ODI # 2546,Sri Lanka,109,87,159,7,7,125.28
Bangladesh VS Sri Lanka,Mahela Jayawardene (c),c Aftab Ahmed b Shakib Al Hasan,3,ODI # 2546,Sri Lanka,46,70,80,2,2,65.71
Bangladesh VS Sri Lanka,Kumar Sangakkara †,c Tamim Iqbal b Syed Rasel,4,ODI # 2546,Sri Lanka,56,55,115,3,1,101.81
Bangladesh VS Sri Lanka,Chamara Silva ,not out ,5,ODI # 2546,Sri Lanka,52,48,58,5,2,108.33
Bangladesh VS Sri Lanka,Russel Arnold ,not out ,6,ODI # 2546,Sri Lanka,5,5,7,0,0,100.00
Bangladesh VS Sri Lanka,Tamim Iqbal ,c †Sangakkara b Malinga,1,ODI # 2546,Bangladesh,6,7,16,1,0,85.71
Bangladesh VS Sri Lanka,Shahriar Nafees ,lbw b Vaas,2,ODI # 2546,Bangladesh,0,3,3,0,0,0.00
Bangladesh VS Sri Lanka,Mushfiqur Rahim †,c Dilshan b Maharoof,3,ODI # 2546,Bangladesh,6,33,48,1,0,18.18
Bangladesh VS Sri Lanka,Aftab Ahmed ,c Jayasuriya b Malinga,4,ODI # 2546,Bangladesh,12,16,18,2,0,75.00
Bangladesh VS Sri Lanka,Shakib Al Hasan , b Muralidaran,5,ODI # 2546,Bangladesh,4,20,41,0,0,20.00
Bangladesh VS Sri Lanka,Habibul Bashar (c),run out (Jayawardene),6,ODI # 2546,Bangladesh,18,47,57,2,0,38.29
Bangladesh VS Sri Lanka,Mohammad Ashraful ,not out ,7,ODI # 2546,Bangladesh,45,63,69,6,0,71.42
Bangladesh VS Sri Lanka,Mashrafe Mortaza ,c Tharanga b Arnold,8,ODI # 2546,Bangladesh,7,14,12,0,1,50.00
Bangladesh VS Sri Lanka,Mohammad Rafique ,c Maharoof b Dilshan,9,ODI # 2546,Bangladesh,7,17,19,0,0,41.17
Bangladesh VS Sri Lanka,Abdur Razzak ,c †Sangakkara b Malinga,10,ODI # 2546,Bangladesh,0,2,6,0,0,0.00
Bangladesh VS Sri Lanka,Syed Rasel ,run out (Dilshan),11,ODI # 2546,Bangladesh,0,1,5,0,0,0.00
Kenya VS New Zealand,Lou Vincent ,c Tikolo b Odoyo,1,ODI # 2544,New Zealand,0,4,3,0,0,0.00
Kenya VS New Zealand,Stephen Fleming (c),run out (CO Obuya/†Ouma),2,ODI # 2544,New Zealand,60,61,93,7,3,98.36
Kenya VS New Zealand,Ross Taylor ,c & b Tikolo,3,ODI # 2544,New Zealand,85,107,146,8,1,79.43
Kenya VS New Zealand,Scott Styris ,c Mishra b Onyango,4,ODI # 2544,New Zealand,63,62,92,3,3,101.61
Kenya VS New Zealand,Craig McMillan ,c Tikolo b Ongondo,5,ODI # 2544,New Zealand,71,48,64,3,5,147.91
Kenya VS New Zealand,Jacob Oram , b Odoyo,6,ODI # 2544,New Zealand,3,6,5,0,0,50.00
Kenya VS New Zealand,Brendon McCullum †,c Varaiya b Ongondo,7,ODI # 2544,New Zealand,6,9,13,0,0,66.66
Kenya VS New Zealand,Daniel Vettori ,not out ,8,ODI # 2544,New Zealand,14,7,7,2,0,200.00
Kenya VS New Zealand,James Franklin ,not out ,9,ODI # 2544,New Zealand,0,0,1,0,0,-
Kenya VS New Zealand,Morris Ouma †,run out (Vincent),1,ODI # 2544,Kenya,4,21,24,0,0,19.04
Kenya VS New Zealand,David Obuya ,lbw b Mason,2,ODI # 2544,Kenya,1,5,8,0,0,20.00
Kenya VS New Zealand,Ravi Shah ,c & b Vettori,3,ODI # 2544,Kenya,71,89,138,8,2,79.77
Kenya VS New Zealand,Steve Tikolo (c),c Vettori b Mason,4,ODI # 2544,Kenya,7,16,28,1,0,43.75
Kenya VS New Zealand,Tanmay Mishra ,c Fleming b Franklin,5,ODI # 2544,Kenya,2,4,2,0,0,50.00
Kenya VS New Zealand,Collins Obuya ,run out (Franklin/Oram),6,ODI # 2544,Kenya,21,31,46,0,0,67.74
Kenya VS New Zealand,Thomas Odoyo ,c Oram b Bond,7,ODI # 2544,Kenya,42,67,94,4,1,62.68
Kenya VS New Zealand,Jimmy Kamande , b Vettori,8,ODI # 2544,Kenya,12,15,21,0,1,80.00
Kenya VS New Zealand,Lameck Onyango ,run out (Vincent),9,ODI # 2544,Kenya,6,17,19,0,0,35.29
Kenya VS New Zealand,Peter Ongondo ,c & b Franklin,10,ODI # 2544,Kenya,4,21,27,0,0,19.04
Kenya VS New Zealand,Hiren Varaiya ,not out ,11,ODI # 2544,Kenya,1,16,16,0,0,6.25
Scotland VS South Africa,Fraser Watts ,c Smith b Langeveldt,1,ODI # 2545,Scotland,24,44,59,2,1,54.54
Scotland VS South Africa,Majid Haq ,c †Boucher b Hall,2,ODI # 2545,Scotland,13,33,46,2,0,39.39
Scotland VS South Africa,Ryan Watson (c),run out (de Villiers),3,ODI # 2545,Scotland,31,50,82,4,0,62.00
Scotland VS South Africa,Gavin Hamilton ,c de Villiers b Hall,4,ODI # 2545,Scotland,4,13,23,0,0,30.76
Scotland VS South Africa,Neil McCallum , b Langeveldt,5,ODI # 2545,Scotland,1,21,24,0,0,4.76
Scotland VS South Africa,Dougie Brown ,not out ,6,ODI # 2545,Scotland,45,64,111,3,0,70.31
Scotland VS South Africa,Colin Smith †, b Pollock,7,ODI # 2545,Scotland,15,30,38,2,0,50.00
Scotland VS South Africa,John Blain ,c Kemp b Hall,8,ODI # 2545,Scotland,23,35,40,1,1,65.71
Scotland VS South Africa,Paul Hoffmann ,run out (†Boucher/Hall),9,ODI # 2545,Scotland,18,11,11,3,1,163.63
Scotland VS South Africa,Graeme Smith (c),c Rogers b Haq,1,ODI # 2545,South Africa,91,65,100,13,1,140.00
Scotland VS South Africa,AB de Villiers ,c Brown b Rogers,2,ODI # 2545,South Africa,62,45,67,9,2,137.77
Scotland VS South Africa,Ashwell Prince ,c McCallum b Haq,3,ODI # 2545,South Africa,21,23,23,3,0,91.30
Scotland VS South Africa,Justin Kemp ,not out ,4,ODI # 2545,South Africa,12,7,11,1,1,171.42
Scotland VS South Africa,Shaun Pollock ,not out ,5,ODI # 2545,South Africa,0,0,1,0,0,-
West Indies VS Zimbabwe,Vusi Sibanda , b Powell,1,ODI # 2543,Zimbabwe,1,9,9,0,0,11.11
West Indies VS Zimbabwe,Friday Kasteni , b Taylor,2,ODI # 2543,Zimbabwe,0,1,2,0,0,0.00
West Indies VS Zimbabwe,Chamu Chibhabha , b Taylor,3,ODI # 2543,Zimbabwe,12,25,39,2,0,48.00
West Indies VS Zimbabwe,Brendan Taylor †,run out (Bravo/Samuels),4,ODI # 2543,Zimbabwe,50,121,145,1,1,41.32
West Indies VS Zimbabwe,Stuart Matsikenyeri ,c Powell b Smith,5,ODI # 2543,Zimbabwe,16,27,36,2,0,59.25
West Indies VS Zimbabwe,Sean Williams ,not out ,6,ODI # 2543,Zimbabwe,70,88,107,7,0,79.54
West Indies VS Zimbabwe,Elton Chigumbura ,not out ,7,ODI # 2543,Zimbabwe,30,29,33,5,0,103.44
West Indies VS Zimbabwe,Chris Gayle ,c Sibanda b Mpofu,1,ODI # 2543,West Indies,40,48,82,3,3,83.33
West Indies VS Zimbabwe,Shivnarine Chanderpaul ,c Sibanda b Chigumbura,2,ODI # 2543,West Indies,21,60,77,3,0,35.00
West Indies VS Zimbabwe,Ramnaresh Sarwan ,c & b Ireland,3,ODI # 2543,West Indies,12,19,32,2,0,63.15
West Indies VS Zimbabwe,Marlon Samuels ,c Chibhabha b Mupariwa,4,ODI # 2543,West Indies,28,48,54,3,0,58.33
West Indies VS Zimbabwe,Brian Lara (c),not out ,5,ODI # 2543,West Indies,44,68,83,2,1,64.70
West Indies VS Zimbabwe,Dwayne Bravo ,not out ,6,ODI # 2543,West Indies,37,46,54,3,2,80.43
Bermuda VS India,Robin Uthappa ,c Leverock b Jones,1,ODI # 2542,India,3,4,5,0,0,75.00
Bermuda VS India,Sourav Ganguly ,st †Minors b Borden,2,ODI # 2542,India,89,114,161,6,2,78.07
Bermuda VS India,Virender Sehwag ,c Jones b Hurdle,3,ODI # 2542,India,114,87,127,17,3,131.03
Bermuda VS India,MS Dhoni †,c Tucker b Borden,4,ODI # 2542,India,29,25,34,2,1,116.00
Bermuda VS India,Yuvraj Singh ,c Jones b Leverock,5,ODI # 2542,India,83,46,52,3,7,180.43
Bermuda VS India,Sachin Tendulkar ,not out ,6,ODI # 2542,India,57,29,46,2,4,196.55
Bermuda VS India,Rahul Dravid (c),not out ,7,ODI # 2542,India,7,2,5,0,1,350.00
Bermuda VS India,Oliver Pitcher , b Khan,1,ODI # 2542,Bermuda,0,6,3,0,0,0.00
Bermuda VS India,Steven Outerbridge , b Khan,2,ODI # 2542,Bermuda,9,16,35,1,0,56.25
Bermuda VS India,Delyone Borden ,lbw b Patel,3,ODI # 2542,Bermuda,13,38,65,1,0,34.21
Bermuda VS India,David Hemp ,not out ,4,ODI # 2542,Bermuda,76,105,156,9,1,72.38
Bermuda VS India,Irving Romaine (c),lbw b Kumble,5,ODI # 2542,Bermuda,0,10,12,0,0,0.00
Bermuda VS India,Janeiro Tucker , b Kumble,6,ODI # 2542,Bermuda,0,6,6,0,0,0.00
Bermuda VS India,Dean Minors †,c sub (KD Karthik) b Agarkar,7,ODI # 2542,Bermuda,21,36,39,3,1,58.33
Bermuda VS India,Lionel Cann ,c Uthappa b Agarkar,8,ODI # 2542,Bermuda,0,2,1,0,0,0.00
Bermuda VS India,Kevin Hurdle , b Agarkar,9,ODI # 2542,Bermuda,0,4,5,0,0,0.00
Bermuda VS India,Dwayne Leverock ,c †Dhoni b Tendulkar,10,ODI # 2542,Bermuda,9,31,40,1,0,29.03
Bermuda VS India,Malachi Jones ,lbw b Kumble,11,ODI # 2542,Bermuda,1,8,4,0,0,12.50
Australia VS Netherlands,Adam Gilchrist †,c van Troost b de Leede,1,ODI # 2540,Australia,57,64,80,11,0,89.06
Australia VS Netherlands,Matthew Hayden ,c Borren b de Leede,2,ODI # 2540,Australia,29,34,47,4,1,85.29
Australia VS Netherlands,Ricky Ponting (c),c & b ten Doeschate,3,ODI # 2540,Australia,23,22,33,4,1,104.54
Australia VS Netherlands,Michael Clarke ,not out ,4,ODI # 2540,Australia,93,85,124,6,3,109.41
Australia VS Netherlands,Brad Hodge , b Borren,5,ODI # 2540,Australia,123,89,108,8,7,138.20
Australia VS Netherlands,Michael Hussey ,c sub (Mohammad Kashif) b ten Doeschate,6,ODI # 2540,Australia,2,4,4,0,0,50.00
Australia VS Netherlands,Shane Watson ,not out ,7,ODI # 2540,Australia,12,4,5,1,1,300.00
Australia VS Netherlands,Bas Zuiderent ,run out (Clarke/†Gilchrist),1,ODI # 2540,Netherlands,9,29,53,1,0,31.03
Australia VS Netherlands,Darron Reekers ,c Clarke b Bracken,2,ODI # 2540,Netherlands,25,19,28,5,0,131.57
Australia VS Netherlands,Alexei Kervezee ,lbw b Bracken,3,ODI # 2540,Netherlands,0,2,2,0,0,0.00
Australia VS Netherlands,Ryan ten Doeschate ,lbw b Tait,4,ODI # 2540,Netherlands,1,6,4,0,0,16.66
Australia VS Netherlands,Luuk van Troost (c),lbw b McGrath,5,ODI # 2540,Netherlands,0,4,6,0,0,0.00
Australia VS Netherlands,Daan van Bunge ,lbw b McGrath,6,ODI # 2540,Netherlands,33,33,49,4,1,100.00
Australia VS Netherlands,Tim de Leede ,c Hayden b Hogg,7,ODI # 2540,Netherlands,14,22,35,2,0,63.63
Australia VS Netherlands,Peter Borren ,c Hussey b Hogg,8,ODI # 2540,Netherlands,24,18,30,4,1,133.33
Australia VS Netherlands,Jeroen Smits †,lbw b Hogg,9,ODI # 2540,Netherlands,3,12,8,0,0,25.00
Australia VS Netherlands,Adeel Raja ,not out ,10,ODI # 2540,Netherlands,8,14,16,1,0,57.14
Australia VS Netherlands,Mark Jonkman ,st †Gilchrist b Hogg,11,ODI # 2540,Netherlands,0,2,2,0,0,0.00
Canada VS England,Ed Joyce , b Dhaniram,1,ODI # 2541,England,66,103,133,4,1,64.07
Canada VS England,Michael Vaughan (c),c Davison b Samad,2,ODI # 2541,England,45,64,82,7,0,70.31
Canada VS England,Ian Bell ,c Codrington b Dhaniram,3,ODI # 2541,England,28,44,42,1,0,63.63
Canada VS England,Kevin Pietersen ,c & b Dhaniram,4,ODI # 2541,England,5,4,8,1,0,125.00
Canada VS England,Paul Collingwood ,not out ,5,ODI # 2541,England,62,48,62,4,1,129.16
Canada VS England,Ravi Bopara , b Codrington,6,ODI # 2541,England,29,30,39,4,0,96.66
Canada VS England,Jamie Dalrymple ,c †Bagai b Cummins,7,ODI # 2541,England,2,4,2,0,0,50.00
Canada VS England,Paul Nixon †,not out ,8,ODI # 2541,England,23,8,10,4,1,287.50
Canada VS England,John Davison (c),c Bell b Anderson,1,ODI # 2541,Canada,21,25,46,4,0,84.00
Canada VS England,Geoff Barnett , b Plunkett,2,ODI # 2541,Canada,7,7,5,1,0,100.00
Canada VS England,Ashish Bagai †,c Pietersen b Plunkett,3,ODI # 2541,Canada,6,11,14,1,0,54.54
Canada VS England,Ian Billcliff , b Bopara,4,ODI # 2541,Canada,20,41,46,2,1,48.78
Canada VS England,Abdool Samad ,lbw b Panesar,5,ODI # 2541,Canada,36,67,100,1,1,53.73
Canada VS England,Ashif Mulla ,st †Nixon b Bopara,6,ODI # 2541,Canada,58,60,71,7,1,96.66
Canada VS England,Desmond Chumney ,not out ,7,ODI # 2541,Canada,27,51,63,0,1,52.94
Canada VS England,Sunil Dhaniram ,run out (Collingwood/Bopara),8,ODI # 2541,Canada,30,33,47,3,0,90.90
Canada VS England,George Codrington ,not out ,9,ODI # 2541,Canada,7,8,9,1,0,87.50
Ireland VS Pakistan,Imran Nazir ,c Morgan b Botha,1,ODI # 2539,Pakistan,24,51,88,3,0,47.05
Ireland VS Pakistan,Mohammad Hafeez ,c †NJ O'Brien b Langford-Smith,2,ODI # 2539,Pakistan,4,6,5,1,0,66.66
Ireland VS Pakistan,Younis Khan ,c Botha b Rankin,3,ODI # 2539,Pakistan,0,3,13,0,0,0.00
Ireland VS Pakistan,Mohammad Yousuf ,c Porterfield b Johnston,4,ODI # 2539,Pakistan,15,31,43,2,0,48.38
Ireland VS Pakistan,Inzamam-ul-Haq (c),c Morgan b Botha,5,ODI # 2539,Pakistan,1,3,2,0,0,33.33
Ireland VS Pakistan,Shoaib Malik ,c †NJ O'Brien b KJ O'Brien,6,ODI # 2539,Pakistan,9,25,32,2,0,36.00
Ireland VS Pakistan,Kamran Akmal †,c Johnston b Rankin,7,ODI # 2539,Pakistan,27,47,56,4,0,57.44
Ireland VS Pakistan,Azhar Mahmood ,c Johnston b Rankin,8,ODI # 2539,Pakistan,2,21,36,0,0,9.52
Ireland VS Pakistan,Mohammad Sami ,c Bray b McCallan,9,ODI # 2539,Pakistan,12,34,51,1,0,35.29
Ireland VS Pakistan,Iftikhar Anjum ,not out ,10,ODI # 2539,Pakistan,8,43,55,0,0,18.60
Ireland VS Pakistan,Umar Gul ,c sub (JF Mooney) b McCallan,11,ODI # 2539,Pakistan,1,13,8,0,0,7.69
Ireland VS Pakistan,Jeremy Bray ,lbw b Mohammad Sami,1,ODI # 2539,Ireland,3,13,14,0,0,23.07
Ireland VS Pakistan,William Porterfield , b Mohammad Hafeez,2,ODI # 2539,Ireland,13,50,100,1,0,26.00
