VS,Match Id,Bowling,O,Teaminnings,M,R,W,ECON,0s,4s,6s,WD,NB
Sri Lanka VS West Indies,ODI # 1973,Chris Gayle,10,Sri Lanka,0,42,1,4.20,26,1,0,2,0
Sri Lanka VS West Indies,ODI # 1973,Chaminda Vaas,10,West Indies,3,22,4,2.20,48,2,0,1,0
Sri Lanka VS West Indies,ODI # 1973,Pulasthi Gunaratne,6,West Indies,1,41,0,6.83,20,6,0,4,0
Sri Lanka VS West Indies,ODI # 1973,Aravinda de Silva,10,West Indies,0,48,1,4.80,31,3,1,0,0
Sri Lanka VS West Indies,ODI # 1973,Dilhara Fernando,6,West Indies,0,33,1,5.50,22,4,0,3,2
Sri Lanka VS West Indies,ODI # 1973,Muthiah Muralidaran,10,West Indies,1,26,1,2.60,45,2,0,2,1
Sri Lanka VS West Indies,ODI # 1973,Sanath Jayasuriya,8,West Indies,0,46,1,5.75,20,2,1,1,0
Zimbabwe VS Netherlands,ODI # 1972,Edgar Schiferli,10,Zimbabwe,2,43,2,4.30,40,5,0,1,0
Zimbabwe VS Netherlands,ODI # 1972,Roland Lefebvre,8,Zimbabwe,0,38,2,4.75,27,4,0,3,0
Zimbabwe VS Netherlands,ODI # 1972,Tim de Leede,7,Zimbabwe,0,69,2,9.85,13,10,1,0,0
Zimbabwe VS Netherlands,ODI # 1972,Feiko Kloppenburg,10,Zimbabwe,0,40,2,4.00,34,4,0,0,0
Zimbabwe VS Netherlands,ODI # 1972,Jacob-Jan Esmeijer,9,Zimbabwe,0,60,0,6.66,17,5,1,1,0
Zimbabwe VS Netherlands,ODI # 1972,Daan van Bunge,3,Zimbabwe,0,22,0,7.33,4,1,0,1,0
Zimbabwe VS Netherlands,ODI # 1972,Henk-Jan Mol,3,Zimbabwe,0,26,0,8.66,4,2,0,1,0
Zimbabwe VS Netherlands,ODI # 1972,Andy Blignaut,10,Netherlands,1,30,0,3.00,44,2,0,1,0
Zimbabwe VS Netherlands,ODI # 1972,Heath Streak,10,Netherlands,1,36,1,3.60,44,6,0,0,0
Zimbabwe VS Netherlands,ODI # 1972,Douglas Hondo,6,Netherlands,1,16,1,2.66,26,1,0,0,0
Zimbabwe VS Netherlands,ODI # 1972,Brian Murphy,10,Netherlands,3,44,3,4.40,43,3,2,0,1
Zimbabwe VS Netherlands,ODI # 1972,Dougie Marillier,9,Netherlands,0,49,2,5.44,29,5,1,1,0
Zimbabwe VS Netherlands,ODI # 1972,Guy Whittall,5,Netherlands,1,19,1,3.80,18,2,0,1,0
Australia VS Namibia,ODI # 1970,Rudi van Vuuren,10,Australia,0,92,0,9.20,28,10,4,1,2
Australia VS Namibia,ODI # 1970,Burton van Rooi,6,Australia,0,24,1,4.00,23,2,0,4,0
Australia VS Namibia,ODI # 1970,Bjorn Kotze,10,Australia,0,62,1,6.20,32,6,2,1,2
Australia VS Namibia,ODI # 1970,Louis Burger,10,Australia,1,39,3,3.90,35,1,1,0,0
Australia VS Namibia,ODI # 1970,Deon Kotze,10,Australia,0,54,0,5.40,29,4,1,0,0
Australia VS Namibia,ODI # 1970,Jan-Berrie Burger,4,Australia,0,22,0,5.50,9,1,0,0,0
Australia VS Namibia,ODI # 1970,Glenn McGrath,7,Namibia,4,15,7,2.14,38,1,0,2,0
Australia VS Namibia,ODI # 1970,Brett Lee,6,Namibia,1,26,1,4.33,28,2,0,0,5
Australia VS Namibia,ODI # 1970,Andy Bichel,1,Namibia,1,0,2,0.00,6,0,0,0,0
South Africa VS Canada,ODI # 1971,Davis Joseph,9,South Africa,1,42,2,4.66,35,4,1,3,0
South Africa VS Canada,ODI # 1971,Ashish Patel,7,South Africa,0,41,3,5.85,27,5,1,3,0
South Africa VS Canada,ODI # 1971,Nicholas Ifill,7,South Africa,0,35,0,5.00,19,2,0,1,1
South Africa VS Canada,ODI # 1971,John Davison,10,South Africa,1,45,1,4.50,35,5,0,1,0
South Africa VS Canada,ODI # 1971,Barry Seebaran,10,South Africa,0,43,0,4.30,27,2,0,0,0
South Africa VS Canada,ODI # 1971,Nicholas de Groot,7,South Africa,0,45,2,6.42,15,1,2,0,0
South Africa VS Canada,ODI # 1971,Shaun Pollock,8,Canada,5,13,1,1.62,37,0,0,0,0
South Africa VS Canada,ODI # 1971,Makhaya Ntini,10,Canada,2,19,2,1.90,46,1,0,0,0
South Africa VS Canada,ODI # 1971,Allan Donald,10,Canada,2,27,0,2.70,46,4,0,1,0
South Africa VS Canada,ODI # 1971,Monde Zondeki,9,Canada,1,24,1,2.66,40,3,0,0,0
South Africa VS Canada,ODI # 1971,Andrew Hall,7,Canada,1,26,1,3.71,33,4,0,2,2
South Africa VS Canada,ODI # 1971,Jacques Kallis,5,Canada,1,11,0,2.20,22,0,0,1,0
South Africa VS Canada,ODI # 1971,Graeme Smith,1,Canada,0,10,0,10.00,2,2,0,0,0
England VS India,ODI # 1969,Andy Caddick,10,India,0,69,3,6.90,34,10,1,2,2
England VS India,ODI # 1969,James Anderson,10,India,0,61,1,6.10,30,5,1,5,0
England VS India,ODI # 1969,Andrew Flintoff,10,India,2,15,2,1.50,49,1,0,1,0
England VS India,ODI # 1969,Craig White,10,India,0,57,1,5.70,32,7,0,0,1
England VS India,ODI # 1969,Ronnie Irani,6,India,0,28,0,4.66,18,1,1,0,0
England VS India,ODI # 1969,Paul Collingwood,4,India,0,15,1,3.75,11,0,0,0,0
England VS India,ODI # 1969,Zaheer Khan,9.3,England,1,29,2,3.05,41,2,0,3,0
England VS India,ODI # 1969,Javagal Srinath,10,England,0,37,1,3.70,45,6,0,1,0
England VS India,ODI # 1969,Ashish Nehra,10,England,2,23,6,2.30,47,2,0,0,0
England VS India,ODI # 1969,Sourav Ganguly,6,England,0,34,0,5.66,21,2,2,0,2
England VS India,ODI # 1969,Harbhajan Singh,10,England,0,40,0,4.00,36,2,1,2,0
Bangladesh VS New Zealand,ODI # 1968,Shane Bond,10,Bangladesh,1,33,3,3.30,52,5,1,5,0
Bangladesh VS New Zealand,ODI # 1968,Kyle Mills,6,Bangladesh,0,32,0,5.33,21,3,0,0,2
Bangladesh VS New Zealand,ODI # 1968,Andre Adams,10,Bangladesh,0,50,1,5.00,37,5,1,2,0
Bangladesh VS New Zealand,ODI # 1968,Jacob Oram,10,Bangladesh,1,32,3,3.20,42,2,0,2,0
Bangladesh VS New Zealand,ODI # 1968,Chris Cairns,3,Bangladesh,0,17,0,5.66,10,2,0,1,1
Bangladesh VS New Zealand,ODI # 1968,Daniel Vettori,10,Bangladesh,0,19,0,1.90,43,0,0,0,0
Bangladesh VS New Zealand,ODI # 1968,Scott Styris,1,Bangladesh,0,10,0,10.00,3,0,1,0,0
Bangladesh VS New Zealand,ODI # 1968,Manjurul Islam,7,New Zealand,1,37,0,5.28,27,5,1,0,0
Bangladesh VS New Zealand,ODI # 1968,Tapash Baisya,8,New Zealand,0,56,0,7.00,27,9,1,1,0
Bangladesh VS New Zealand,ODI # 1968,Khaled Mahmud,10,New Zealand,0,46,3,4.60,35,3,1,1,1
Bangladesh VS New Zealand,ODI # 1968,Alok Kapali,6,New Zealand,0,38,0,6.33,18,2,2,1,0
Bangladesh VS New Zealand,ODI # 1968,Sanuar Hossain,2,New Zealand,0,19,0,9.50,1,1,1,0,0
Bangladesh VS New Zealand,ODI # 1968,Mohammad Ashraful,0.3,New Zealand,0,3,0,6.00,0,0,0,0,0
Netherlands VS Pakistan,ODI # 1967,Edgar Schiferli,10,Pakistan,1,48,1,4.80,35,5,0,0,0
Netherlands VS Pakistan,ODI # 1967,Roland Lefebvre,10,Pakistan,1,39,1,3.90,34,2,0,1,0
Netherlands VS Pakistan,ODI # 1967,Tim de Leede,10,Pakistan,0,53,2,5.30,32,4,0,4,0
Netherlands VS Pakistan,ODI # 1967,Luuk van Troost,2,Pakistan,0,18,0,9.00,4,2,0,0,0
Netherlands VS Pakistan,ODI # 1967,Jacob-Jan Esmeijer,10,Pakistan,0,35,0,3.50,36,3,0,0,0
Netherlands VS Pakistan,ODI # 1967,Daan van Bunge,4,Pakistan,0,27,2,6.75,11,2,0,0,0
Netherlands VS Pakistan,ODI # 1967,Henk-Jan Mol,4,Pakistan,0,24,1,6.00,11,1,1,1,0
Netherlands VS Pakistan,ODI # 1967,Wasim Akram,8.3,Netherlands,2,24,3,2.82,44,1,0,5,4
Netherlands VS Pakistan,ODI # 1967,Shoaib Akhtar,7,Netherlands,0,26,3,3.71,34,2,0,6,0
Netherlands VS Pakistan,ODI # 1967,Waqar Younis,6,Netherlands,1,19,1,3.16,28,2,0,1,0
Netherlands VS Pakistan,ODI # 1967,Saqlain Mushtaq,8,Netherlands,2,32,1,4.00,36,3,2,0,0
Netherlands VS Pakistan,ODI # 1967,Abdul Razzaq,6,Netherlands,0,23,1,3.83,25,2,0,1,2
Netherlands VS Pakistan,ODI # 1967,Saeed Anwar,4,Netherlands,0,15,1,3.75,13,1,0,0,0
Zimbabwe VS Australia,ODI # 1966,Glenn McGrath,9,Zimbabwe,2,24,2,2.66,36,1,0,1,0
Zimbabwe VS Australia,ODI # 1966,Jason Gillespie,9,Zimbabwe,1,50,2,5.55,35,9,0,1,0
Zimbabwe VS Australia,ODI # 1966,Andrew Symonds,10,Zimbabwe,1,35,0,3.50,37,4,0,0,0
Zimbabwe VS Australia,ODI # 1966,Brett Lee,10,Zimbabwe,0,63,1,6.30,32,6,1,1,3
Zimbabwe VS Australia,ODI # 1966,Brad Hogg,8,Zimbabwe,0,46,3,5.75,26,3,2,0,1
Zimbabwe VS Australia,ODI # 1966,Damien Martyn,4,Zimbabwe,0,21,0,5.25,13,3,0,0,0
Zimbabwe VS Australia,ODI # 1966,Heath Streak,6,Australia,0,38,0,6.33,17,5,0,1,0
Zimbabwe VS Australia,ODI # 1966,Andy Blignaut,10,Australia,0,54,0,5.40,30,5,0,4,0
Zimbabwe VS Australia,ODI # 1966,Douglas Hondo,9,Australia,0,49,1,5.44,23,5,0,0,0
Zimbabwe VS Australia,ODI # 1966,Guy Whittall,3.3,Australia,0,26,0,7.42,9,4,0,0,0
Zimbabwe VS Australia,ODI # 1966,Dougie Marillier,10,Australia,1,32,1,3.20,32,0,0,3,0
Zimbabwe VS Australia,ODI # 1966,Brian Murphy,9,Australia,0,48,1,5.33,22,4,0,0,0
Kenya VS Sri Lanka,ODI # 1965,Chaminda Vaas,10,Kenya,1,41,3,4.10,47,3,2,2,2
Kenya VS Sri Lanka,ODI # 1965,Prabath Nissanka,7,Kenya,2,29,0,4.14,33,5,0,4,0
Kenya VS Sri Lanka,ODI # 1965,Dilhara Fernando,7,Kenya,0,33,0,4.71,23,4,0,0,0
Kenya VS Sri Lanka,ODI # 1965,Muthiah Muralidaran,10,Kenya,1,28,4,2.80,44,2,0,1,0
Kenya VS Sri Lanka,ODI # 1965,Sanath Jayasuriya,9,Kenya,1,30,1,3.33,37,2,0,1,0
Kenya VS Sri Lanka,ODI # 1965,Aravinda de Silva,5,Kenya,1,23,1,4.60,15,2,0,0,0
Kenya VS Sri Lanka,ODI # 1965,Russel Arnold,2,Kenya,0,10,0,5.00,3,0,0,1,0
Kenya VS Sri Lanka,ODI # 1965,Martin Suji,8,Sri Lanka,1,24,1,3.00,38,4,0,0,0
Kenya VS Sri Lanka,ODI # 1965,Thomas Odoyo,7,Sri Lanka,0,33,1,4.71,28,5,0,1,0
Kenya VS Sri Lanka,ODI # 1965,Collins Obuya,10,Sri Lanka,0,24,5,2.40,44,1,0,1,1
Kenya VS Sri Lanka,ODI # 1965,Peter Ongondo,5,Sri Lanka,0,22,0,4.40,16,0,1,1,0
Kenya VS Sri Lanka,ODI # 1965,Maurice Odumbe,10,Sri Lanka,0,39,1,3.90,34,3,0,2,0
Kenya VS Sri Lanka,ODI # 1965,Steve Tikolo,5,Sri Lanka,1,13,2,2.60,20,1,0,0,0
Canada VS West Indies,ODI # 1963,Mervyn Dillon,5,Canada,0,41,0,8.20,17,4,2,1,0
Canada VS West Indies,ODI # 1963,Pedro Collins,7,Canada,1,35,1,5.00,31,3,1,1,3
Canada VS West Indies,ODI # 1963,Vasbert Drakes,9.5,Canada,1,44,5,4.47,46,3,2,0,3
Canada VS West Indies,ODI # 1963,Carl Hooper,8,Canada,1,31,0,3.87,28,2,0,1,0
Canada VS West Indies,ODI # 1963,Chris Gayle,9,Canada,1,29,0,3.22,38,1,2,0,0
Canada VS West Indies,ODI # 1963,Wavell Hinds,4,Canada,0,19,2,4.75,13,2,0,0,0
Canada VS West Indies,ODI # 1963,Davis Joseph,4,West Indies,0,47,1,11.75,11,7,2,2,0
Canada VS West Indies,ODI # 1963,Austin Codrington,4,West Indies,0,25,0,6.25,17,4,1,1,0
Canada VS West Indies,ODI # 1963,Nicholas Ifill,4,West Indies,0,46,0,11.50,10,7,1,4,1
Canada VS West Indies,ODI # 1963,Barry Seebaran,1,West Indies,0,26,0,26.00,1,2,3,0,0
Canada VS West Indies,ODI # 1963,John Davison,5,West Indies,0,36,1,7.20,15,6,0,1,0
Canada VS West Indies,ODI # 1963,Nicholas de Groot,2.3,West Indies,0,21,1,8.40,5,2,1,0,0
India VS Namibia,ODI # 1964,Gerrie Snyman,10,India,0,57,0,5.70,29,5,0,3,1
India VS Namibia,ODI # 1964,Rudi van Vuuren,10,India,1,53,2,5.30,38,8,1,1,0
India VS Namibia,ODI # 1964,Louis Burger,6,India,0,49,0,8.16,14,6,0,1,0
India VS Namibia,ODI # 1964,Burton van Rooi,6,India,0,36,0,6.00,16,2,1,1,0
India VS Namibia,ODI # 1964,Bjorn Kotze,10,India,0,64,0,6.40,20,6,0,0,0
India VS Namibia,ODI # 1964,Deon Kotze,8,India,0,50,0,6.25,21,2,2,3,0
India VS Namibia,ODI # 1964,Javagal Srinath,6,Namibia,0,25,0,4.16,27,3,1,1,0
India VS Namibia,ODI # 1964,Ashish Nehra,0.1,Namibia,0,0,0,0.00,1,0,0,0,0
India VS Namibia,ODI # 1964,Zaheer Khan,7.5,Namibia,0,24,2,3.06,37,3,0,1,2
India VS Namibia,ODI # 1964,Harbhajan Singh,10,Namibia,1,34,2,3.40,43,2,0,1,0
India VS Namibia,ODI # 1964,Dinesh Mongia,10,Namibia,1,24,2,2.40,46,0,1,1,0
India VS Namibia,ODI # 1964,Virender Sehwag,4,Namibia,0,16,0,4.00,16,2,0,0,1
India VS Namibia,ODI # 1964,Yuvraj Singh,4.3,Namibia,2,6,4,1.33,22,0,0,0,0
England VS Pakistan,ODI # 1962,Wasim Akram,10,England,1,37,1,3.70,41,2,0,3,3
England VS Pakistan,ODI # 1962,Shoaib Akhtar,9,England,1,63,1,7.00,30,6,2,3,1
England VS Pakistan,ODI # 1962,Waqar Younis,7,England,0,37,2,5.28,25,6,0,0,0
England VS Pakistan,ODI # 1962,Saqlain Mushtaq,10,England,0,44,2,4.40,31,2,0,0,0
England VS Pakistan,ODI # 1962,Shahid Afridi,8,England,0,36,2,4.50,23,2,0,0,0
England VS Pakistan,ODI # 1962,Abdul Razzaq,6,England,0,28,0,4.66,21,3,0,1,1
England VS Pakistan,ODI # 1962,Andy Caddick,7,Pakistan,0,27,1,3.85,29,1,1,4,0
England VS Pakistan,ODI # 1962,James Anderson,10,Pakistan,2,29,4,2.90,48,3,0,3,0
England VS Pakistan,ODI # 1962,Andrew Flintoff,9,Pakistan,2,37,2,4.11,41,5,1,4,0
England VS Pakistan,ODI # 1962,Craig White,5,Pakistan,0,33,3,6.60,17,3,2,0,0
South Africa VS Bangladesh,ODI # 1961,Shaun Pollock,6,Bangladesh,2,8,2,1.33,32,0,0,0,3
South Africa VS Bangladesh,ODI # 1961,Makhaya Ntini,7.1,Bangladesh,1,24,4,3.34,34,3,0,0,2
South Africa VS Bangladesh,ODI # 1961,Monde Zondeki,5,Bangladesh,1,17,1,3.40,21,0,0,4,0
South Africa VS Bangladesh,ODI # 1961,Andrew Hall,6,Bangladesh,2,15,2,2.50,32,2,0,3,2
South Africa VS Bangladesh,ODI # 1961,Jacques Kallis,5,Bangladesh,0,19,0,3.80,18,1,0,1,1
South Africa VS Bangladesh,ODI # 1961,Robin Peterson,6,Bangladesh,0,21,0,3.50,23,1,1,0,0
South Africa VS Bangladesh,ODI # 1961,Manjurul Islam,4,South Africa,0,26,0,6.50,14,5,0,0,0
South Africa VS Bangladesh,ODI # 1961,Talha Jubair,2,South Africa,0,24,0,12.00,7,4,0,6,0
South Africa VS Bangladesh,ODI # 1961,Khaled Mahmud,2,South Africa,0,20,0,10.00,6,4,0,1,0
South Africa VS Bangladesh,ODI # 1961,Mohammad Rafique,2,South Africa,0,20,0,10.00,6,3,1,0,0
South Africa VS Bangladesh,ODI # 1961,Alok Kapali,2,South Africa,0,18,0,9.00,4,1,1,0,0
Australia VS Netherlands,ODI # 1960,Edgar Schiferli,7,Australia,0,42,0,6.00,25,7,0,1,0
Australia VS Netherlands,ODI # 1960,Roland Lefebvre,8,Australia,2,19,0,2.37,36,1,0,2,0
Australia VS Netherlands,ODI # 1960,Tim de Leede,7,Australia,0,34,2,4.85,25,3,0,4,0
Australia VS Netherlands,ODI # 1960,Feiko Kloppenburg,7,Australia,0,32,0,4.57,18,2,0,1,0
Australia VS Netherlands,ODI # 1960,Jacob-Jan Esmeijer,5,Australia,0,16,0,3.20,16,0,0,0,0
Australia VS Netherlands,ODI # 1960,Daan van Bunge,2,Australia,0,20,0,10.00,3,3,0,0,0
Australia VS Netherlands,ODI # 1960,Glenn McGrath,3,Netherlands,1,10,0,3.33,13,1,0,1,0
Australia VS Netherlands,ODI # 1960,Jason Gillespie,3,Netherlands,0,7,2,2.33,16,0,0,3,0
Australia VS Netherlands,ODI # 1960,Darren Lehmann,8,Netherlands,0,27,2,3.37,33,1,1,1,0
Australia VS Netherlands,ODI # 1960,Andrew Symonds,7,Netherlands,0,36,0,5.14,26,4,0,4,0
Australia VS Netherlands,ODI # 1960,Andy Bichel,5,Netherlands,0,13,3,2.60,23,1,0,1,0
Australia VS Netherlands,ODI # 1960,Ian Harvey,4.2,Netherlands,0,25,3,5.76,17,2,1,1,1
Canada VS Sri Lanka,ODI # 1958,Chaminda Vaas,7,Canada,4,15,3,2.14,36,3,0,0,0
Canada VS Sri Lanka,ODI # 1958,Prabath Nissanka,7,Canada,1,12,4,1.71,38,2,0,1,1
Canada VS Sri Lanka,ODI # 1958,Muthiah Muralidaran,2.4,Canada,0,3,1,1.12,13,0,0,0,0
Canada VS Sri Lanka,ODI # 1958,Dilhara Fernando,2,Canada,0,4,2,2.00,10,0,0,1,0
Canada VS Sri Lanka,ODI # 1958,Sanjayan Thuraisingam,2.4,Sri Lanka,0,22,1,8.25,8,4,0,0,0
Canada VS Sri Lanka,ODI # 1958,John Davison,2,Sri Lanka,0,15,0,7.50,6,2,0,0,0
England VS Namibia,ODI # 1959,Gerrie Snyman,10,England,0,69,3,6.90,27,7,1,2,2
England VS Namibia,ODI # 1959,Rudi van Vuuren,10,England,2,43,5,4.30,40,5,1,0,0
England VS Namibia,ODI # 1959,Louis Burger,9,England,0,45,0,5.00,27,4,0,0,1
England VS Namibia,ODI # 1959,Bjorn Kotze,3,England,0,24,0,8.00,7,4,0,0,0
England VS Namibia,ODI # 1959,Deon Kotze,10,England,0,35,1,3.50,36,1,1,0,0
England VS Namibia,ODI # 1959,Jan-Berrie Burger,2,England,0,23,1,11.50,4,4,0,2,0
England VS Namibia,ODI # 1959,Sarel Burger,6,England,0,32,0,5.33,13,1,1,0,0
England VS Namibia,ODI # 1959,Andy Caddick,8,Namibia,2,28,0,3.50,38,4,0,2,0
England VS Namibia,ODI # 1959,James Anderson,8,Namibia,0,44,1,5.50,27,4,1,3,0
England VS Namibia,ODI # 1959,Andrew Flintoff,10,Namibia,2,33,2,3.30,44,4,0,1,0
England VS Namibia,ODI # 1959,Craig White,10,Namibia,0,46,2,4.60,35,2,2,0,2
England VS Namibia,ODI # 1959,Michael Vaughan,6,Namibia,0,31,0,5.16,16,3,0,0,1
England VS Namibia,ODI # 1959,Ronnie Irani,8,Namibia,0,30,3,3.75,26,3,0,0,0
Zimbabwe VS India,ODI # 1957,Heath Streak,9,India,0,46,1,5.11,27,5,0,1,0
Zimbabwe VS India,ODI # 1957,Andy Blignaut,10,India,0,54,1,5.40,27,4,0,5,0
Zimbabwe VS India,ODI # 1957,Douglas Hondo,9,India,1,56,1,6.22,30,7,1,0,0
Zimbabwe VS India,ODI # 1957,Guy Whittall,6,India,0,37,1,6.16,20,5,0,0,0
Zimbabwe VS India,ODI # 1957,Grant Flower,6,India,0,14,2,2.33,23,0,0,1,0
Zimbabwe VS India,ODI # 1957,Brian Murphy,10,India,0,40,1,4.00,30,0,1,2,0
Zimbabwe VS India,ODI # 1957,Javagal Srinath,8,Zimbabwe,1,14,2,1.75,36,0,0,0,0
Zimbabwe VS India,ODI # 1957,Zaheer Khan,7.4,Zimbabwe,0,23,2,3.00,34,2,0,3,1
Zimbabwe VS India,ODI # 1957,Ashish Nehra,7,Zimbabwe,0,35,0,5.00,20,3,0,0,1
Zimbabwe VS India,ODI # 1957,Harbhajan Singh,10,Zimbabwe,0,42,2,4.20,29,2,0,2,0
Zimbabwe VS India,ODI # 1957,Sourav Ganguly,5,Zimbabwe,1,22,3,4.40,17,1,0,0,0
Zimbabwe VS India,ODI # 1957,Virender Sehwag,3,Zimbabwe,0,14,1,4.66,5,0,0,0,0
Zimbabwe VS India,ODI # 1957,Dinesh Mongia,4,Zimbabwe,0,16,0,4.00,13,1,0,0,0
Bangladesh VS West Indies,ODI # 1956,Manjurul Islam,10,West Indies,0,62,3,6.20,39,6,3,4,0
Bangladesh VS West Indies,ODI # 1956,Talha Jubair,8,West Indies,0,46,0,5.75,31,3,1,5,6
Bangladesh VS West Indies,ODI # 1956,Khaled Mahmud,10,West Indies,1,48,2,4.80,32,4,1,0,1
Bangladesh VS West Indies,ODI # 1956,Ehsanul Hoque,10,West Indies,0,34,2,3.40,32,1,0,1,0
Bangladesh VS West Indies,ODI # 1956,Mohammad Rafique,10,West Indies,0,44,0,4.40,29,2,1,0,0
Bangladesh VS West Indies,ODI # 1956,Alok Kapali,2,West Indies,1,3,1,1.50,9,0,0,0,0
Bangladesh VS West Indies,ODI # 1956,Mervyn Dillon,4.1,Bangladesh,0,13,1,3.12,18,0,0,3,0
Bangladesh VS West Indies,ODI # 1956,Vasbert Drakes,4,Bangladesh,1,17,1,4.25,18,3,0,0,0
England VS Netherlands,ODI # 1953,Andy Caddick,10,Netherlands,4,19,0,1.90,53,2,0,1,2
England VS Netherlands,ODI # 1953,James Anderson,10,Netherlands,1,25,4,2.50,50,3,0,1,0
England VS Netherlands,ODI # 1953,Andrew Flintoff,10,Netherlands,2,29,1,2.90,46,4,0,1,0
England VS Netherlands,ODI # 1953,Craig White,10,Netherlands,3,22,2,2.20,44,1,0,0,0
England VS Netherlands,ODI # 1953,Ian Blackwell,10,Netherlands,0,37,2,3.70,38,4,0,1,0
England VS Netherlands,ODI # 1953,Edgar Schiferli,5,England,0,33,1,6.60,17,5,0,2,0
England VS Netherlands,ODI # 1953,Roland Lefebvre,5,England,0,18,0,3.60,21,2,0,1,0
England VS Netherlands,ODI # 1953,Tim de Leede,4,England,0,29,0,7.25,11,5,0,0,0
England VS Netherlands,ODI # 1953,Adeel Raja,5,England,0,34,0,6.80,13,5,0,0,0
England VS Netherlands,ODI # 1953,Daan van Bunge,3,England,0,16,3,5.33,14,4,0,0,0
England VS Netherlands,ODI # 1953,Feiko Kloppenburg,1.2,England,0,14,0,10.50,3,3,0,0,0
Namibia VS Pakistan,ODI # 1954,Gerrie Snyman,8,Pakistan,0,51,2,6.37,27,7,0,4,1
Namibia VS Pakistan,ODI # 1954,Rudi van Vuuren,10,Pakistan,1,47,0,4.70,33,5,0,1,0
Namibia VS Pakistan,ODI # 1954,Bjorn Kotze,10,Pakistan,1,51,2,5.10,31,5,0,3,0
Namibia VS Pakistan,ODI # 1954,Louis Burger,10,Pakistan,0,45,1,4.50,32,3,0,2,0
Namibia VS Pakistan,ODI # 1954,Deon Kotze,8,Pakistan,0,32,1,4.00,21,1,0,0,0
Namibia VS Pakistan,ODI # 1954,Jan-Berrie Burger,4,Pakistan,0,18,1,4.50,12,1,0,0,0
Namibia VS Pakistan,ODI # 1954,Wasim Akram,9,Namibia,1,28,5,3.11,39,3,0,2,2
Namibia VS Pakistan,ODI # 1954,Shoaib Akhtar,8,Namibia,1,46,4,5.75,31,4,0,2,2
Namibia VS Pakistan,ODI # 1954,Saqlain Mushtaq,0.4,Namibia,0,1,1,1.50,3,0,0,0,0
South Africa VS New Zealand,ODI # 1955,Shane Bond,10,South Africa,0,73,1,7.30,28,11,0,3,2
South Africa VS New Zealand,ODI # 1955,Andre Adams,9,South Africa,0,57,1,6.33,33,8,1,4,0
South Africa VS New Zealand,ODI # 1955,Jacob Oram,8,South Africa,0,52,2,6.50,26,6,1,3,1
South Africa VS New Zealand,ODI # 1955,Scott Styris,10,South Africa,0,44,1,4.40,36,4,1,1,0
South Africa VS New Zealand,ODI # 1955,Daniel Vettori,10,South Africa,0,58,1,5.80,25,4,2,0,0
South Africa VS New Zealand,ODI # 1955,Nathan Astle,3,South Africa,0,16,0,5.33,6,1,0,0,0
South Africa VS New Zealand,ODI # 1955,Shaun Pollock,8,New Zealand,0,36,0,4.50,26,4,0,0,0
South Africa VS New Zealand,ODI # 1955,Makhaya Ntini,8,New Zealand,1,33,0,4.12,31,4,0,3,0
South Africa VS New Zealand,ODI # 1955,Allan Donald,5.5,New Zealand,0,52,1,8.91,16,6,1,3,0
South Africa VS New Zealand,ODI # 1955,Jacques Kallis,8,New Zealand,0,47,0,5.87,23,5,0,1,0
South Africa VS New Zealand,ODI # 1955,Nicky Boje,2,New Zealand,0,16,0,8.00,3,2,0,1,0
South Africa VS New Zealand,ODI # 1955,Lance Klusener,5,New Zealand,0,37,0,7.40,10,5,0,0,0
Canada VS Kenya,ODI # 1952,Martin Suji,7,Canada,1,23,0,3.28,32,2,1,0,0
Canada VS Kenya,ODI # 1952,Thomas Odoyo,10,Canada,1,28,4,2.80,49,3,1,2,0
Canada VS Kenya,ODI # 1952,Peter Ongondo,6,Canada,1,12,1,2.00,30,1,0,1,1
Canada VS Kenya,ODI # 1952,Collins Obuya,10,Canada,1,46,2,4.60,39,6,1,1,0
Canada VS Kenya,ODI # 1952,Maurice Odumbe,9,Canada,0,41,2,4.55,29,3,1,0,0
Canada VS Kenya,ODI # 1952,Tony Suji,7,Canada,0,45,1,6.42,17,2,2,1,0
Canada VS Kenya,ODI # 1952,Davis Joseph,10,Kenya,1,39,0,3.90,45,5,0,3,0
Canada VS Kenya,ODI # 1952,Sanjayan Thuraisingam,10,Kenya,1,53,2,5.30,36,6,0,2,0
Canada VS Kenya,ODI # 1952,Austin Codrington,10,Kenya,1,44,1,4.40,40,6,0,1,0
Canada VS Kenya,ODI # 1952,John Davison,10,Kenya,3,15,3,1.50,51,0,0,3,0
Canada VS Kenya,ODI # 1952,Nicholas de Groot,4,Kenya,0,22,0,5.50,14,2,1,0,0
Canada VS Kenya,ODI # 1952,Ishwar Maraj,4.3,Kenya,0,22,0,4.88,15,3,0,0,0
Australia VS India,ODI # 1951,Glenn McGrath,8,India,3,23,1,2.87,38,3,0,0,0
Australia VS India,ODI # 1951,Brett Lee,9,India,1,36,3,4.00,42,5,1,3,1
Australia VS India,ODI # 1951,Jason Gillespie,10,India,2,13,3,1.30,48,0,0,1,0
Australia VS India,ODI # 1951,Andrew Symonds,6,India,0,25,0,4.16,23,1,0,4,0
Australia VS India,ODI # 1951,Brad Hogg,4.4,India,0,16,1,3.42,19,2,0,0,0
Australia VS India,ODI # 1951,Darren Lehmann,4,India,0,7,1,1.75,17,0,0,0,0
