VS,Match Id,Bowling,O,Teaminnings,M,R,W,ECON,0s,4s,6s,WD,NB
Pakistan VS West Indies,ODI # 26,Asif Masood,12,West Indies,1,64,1,5.33,-,-,-,0,0
Pakistan VS West Indies,ODI # 26,Sarfraz Nawaz,12,West Indies,1,44,4,3.66,-,-,-,0,0
Pakistan VS West Indies,ODI # 26,Naseer Malik,12,West Indies,2,42,2,3.50,-,-,-,0,0
Pakistan VS West Indies,ODI # 26,Pervez Mir,9,West Indies,1,42,1,4.66,-,-,-,0,0
Pakistan VS West Indies,ODI # 26,Javed Miandad,12,West Indies,0,46,1,3.83,-,-,-,0,0
Pakistan VS West Indies,ODI # 26,Mushtaq Mohammad,2,West Indies,0,7,0,3.50,-,-,-,0,0
Pakistan VS West Indies,ODI # 26,Wasim Raja,0.4,West Indies,0,3,0,4.50,-,-,-,0,0
England VS India,ODI # 19,Madan Lal,12,England,1,64,1,5.33,-,-,-,0,0
England VS India,ODI # 19,Mohinder Amarnath,12,England,2,60,1,5.00,-,-,-,0,0
England VS India,ODI # 19,Syed Abid Ali,12,England,0,58,2,4.83,-,-,-,0,0
England VS India,ODI # 19,Karsan Ghavri,11,England,1,83,0,7.54,-,-,-,0,0
England VS India,ODI # 19,Srinivas Venkataraghavan,12,England,0,41,0,3.41,-,-,-,0,0
England VS India,ODI # 19,Eknath Solkar,1,England,0,12,0,12.00,-,-,-,0,0
England VS India,ODI # 19,John Snow,12,India,2,24,0,2.00,-,-,-,0,0
England VS India,ODI # 19,Geoff Arnold,10,India,2,20,1,2.00,-,-,-,0,0
England VS India,ODI # 19,Chris Old,12,India,4,26,1,2.16,-,-,-,0,0
England VS India,ODI # 19,Tony Greig,9,India,1,26,0,2.88,-,-,-,0,0
England VS India,ODI # 19,Barry Wood,5,India,2,4,0,0.80,-,-,-,0,0
England VS India,ODI # 19,Peter Lever,10,India,0,16,1,1.60,-,-,-,0,0
England VS India,ODI # 19,John Jameson,2,India,1,3,0,1.50,-,-,-,0,0
East Africa VS New Zealand,ODI # 20,John Nagenda,9,New Zealand,1,50,1,5.55,-,-,-,0,0
East Africa VS New Zealand,ODI # 20,Frasat Ali,9,New Zealand,0,50,0,5.55,-,-,-,0,0
East Africa VS New Zealand,ODI # 20,Parbhu Nana,12,New Zealand,2,34,1,2.83,-,-,-,0,0
East Africa VS New Zealand,ODI # 20,Ramesh Sethi,10,New Zealand,1,51,1,5.10,-,-,-,0,0
East Africa VS New Zealand,ODI # 20,Zulfiqar Ali,12,New Zealand,0,71,1,5.91,-,-,-,0,0
East Africa VS New Zealand,ODI # 20,Mehmood Quaraishy,8,New Zealand,0,39,1,4.87,-,-,-,0,0
East Africa VS New Zealand,ODI # 20,Richard Collinge,12,East Africa,5,23,1,1.91,-,-,-,0,0
East Africa VS New Zealand,ODI # 20,Richard Hadlee,12,East Africa,6,10,0,0.83,-,-,-,0,0
