VS,Player, ,Batting Possition,Match Id,Teaminnings,Runs,Balls,Mins,Fours,Sixs,Strike Rate
Australia VS Zimbabwe,Duncan Fletcher, b Hogan,6.0,ODI # 212,Zimbabwe,2.0,11.0,0.0,0.0,0.0,18.18
Australia VS Zimbabwe,Kevin Curran,lbw b Chappell,7.0,ODI # 212,Zimbabwe,35.0,53.0,0.0,2.0,0.0,66.03
Australia VS Zimbabwe,Iain Butchart,lbw b Hogg,8.0,ODI # 212,Zimbabwe,0.0,1.0,0.0,0.0,0.0,0.0
Australia VS Zimbabwe,Peter Rawson,lbw b Hogg,9.0,ODI # 212,Zimbabwe,0.0,1.0,0.0,0.0,0.0,0.0
Australia VS Zimbabwe,John Traicos, b Chappell,10.0,ODI # 212,Zimbabwe,19.0,21.0,0.0,1.0,0.0,90.47
Australia VS Zimbabwe,Vince Hogg,not out ,11.0,ODI # 212,Zimbabwe,7.0,19.0,0.0,0.0,0.0,36.84
England VS New Zealand,Graeme Fowler,c JJ Crowe b Chatfield,1.0,ODI # 209,England,69.0,112.0,98.0,9.0,0.0,61.6
England VS New Zealand,Chris Tavaré,c Cairns b Coney,2.0,ODI # 209,England,18.0,44.0,55.0,1.0,0.0,40.9
England VS New Zealand,Ian Botham,c & b Bracewell,3.0,ODI # 209,England,12.0,9.0,13.0,1.0,1.0,133.33
England VS New Zealand,David Gower,not out ,4.0,ODI # 209,England,92.0,96.0,123.0,6.0,4.0,95.83
England VS New Zealand,Allan Lamb,c JJ Crowe b Cairns,5.0,ODI # 209,England,8.0,14.0,16.0,1.0,0.0,57.14
England VS New Zealand,Mike Gatting, b Cairns,6.0,ODI # 209,England,1.0,5.0,9.0,0.0,0.0,20.0
England VS New Zealand,Ian Gould,lbw b Cairns,7.0,ODI # 209,England,4.0,14.0,13.0,0.0,0.0,28.57
England VS New Zealand,Vic Marks, b Hadlee,8.0,ODI # 209,England,5.0,15.0,23.0,0.0,0.0,33.33
England VS New Zealand,Graham Dilley, b Hadlee,9.0,ODI # 209,England,10.0,19.0,24.0,0.0,0.0,52.63
England VS New Zealand,Paul Allott,c †Smith b Hadlee,10.0,ODI # 209,England,0.0,1.0,1.0,0.0,0.0,0.0
England VS New Zealand,Bob Willis,lbw b Chatfield,11.0,ODI # 209,England,0.0,3.0,2.0,0.0,0.0,0.0
England VS New Zealand,Glenn Turner,lbw b Willis,1.0,ODI # 209,New Zealand,2.0,5.0,4.0,0.0,0.0,40.0
England VS New Zealand,Bruce Edgar,c †Gould b Willis,2.0,ODI # 209,New Zealand,1.0,6.0,13.0,0.0,0.0,16.66
England VS New Zealand,Geoff Howarth,run out ,3.0,ODI # 209,New Zealand,60.0,104.0,160.0,5.0,1.0,57.69
England VS New Zealand,Jeff Crowe, b Allott,4.0,ODI # 209,New Zealand,17.0,46.0,57.0,1.0,0.0,36.95
England VS New Zealand,Martin Crowe, b Marks,5.0,ODI # 209,New Zealand,20.0,40.0,36.0,2.0,0.0,50.0
England VS New Zealand,Jeremy Coney,not out ,6.0,ODI # 209,New Zealand,66.0,97.0,144.0,9.0,0.0,68.04
England VS New Zealand,Ian Smith, b Botham,7.0,ODI # 209,New Zealand,4.0,6.0,6.0,1.0,0.0,66.66
England VS New Zealand,Richard Hadlee, b Willis,8.0,ODI # 209,New Zealand,31.0,45.0,58.0,3.0,0.0,68.88
England VS New Zealand,Lance Cairns,lbw b Willis,9.0,ODI # 209,New Zealand,5.0,6.0,11.0,0.0,0.0,83.33
England VS New Zealand,John Bracewell,not out ,10.0,ODI # 209,New Zealand,4.0,7.0,9.0,1.0,0.0,57.14
India VS West Indies,Gordon Greenidge,c Vengsarkar b Kapil Dev,1.0,ODI # 210,West Indies,9.0,13.0,0.0,0.0,0.0,69.23
India VS West Indies,Desmond Haynes,c Kapil Dev b Amarnath,2.0,ODI # 210,West Indies,38.0,93.0,0.0,0.0,0.0,40.86
India VS West Indies,Viv Richards,c †Kirmani b Sandhu,3.0,ODI # 210,West Indies,119.0,146.0,0.0,6.0,1.0,81.5
India VS West Indies,Clive Lloyd,run out ,4.0,ODI # 210,West Indies,41.0,42.0,0.0,0.0,0.0,97.61
India VS West Indies,Faoud Bacchus, b Binny,5.0,ODI # 210,West Indies,8.0,8.0,0.0,0.0,0.0,100.0
India VS West Indies,Jeff Dujon,c Shastri b Binny,6.0,ODI # 210,West Indies,9.0,13.0,0.0,0.0,0.0,69.23
India VS West Indies,Larry Gomes,not out ,7.0,ODI # 210,West Indies,27.0,22.0,0.0,0.0,0.0,122.72
India VS West Indies,Andy Roberts,c Patil b Binny,8.0,ODI # 210,West Indies,7.0,9.0,0.0,0.0,0.0,77.77
India VS West Indies,Malcolm Marshall,run out ,9.0,ODI # 210,West Indies,4.0,7.0,0.0,0.0,0.0,57.14
India VS West Indies,Michael Holding,c sub b Madan Lal,10.0,ODI # 210,West Indies,2.0,5.0,0.0,0.0,0.0,40.0
India VS West Indies,Winston Davis,not out ,11.0,ODI # 210,West Indies,0.0,2.0,0.0,0.0,0.0,0.0
India VS West Indies,Kris Srikkanth,c †Dujon b Roberts,1.0,ODI # 210,India,2.0,9.0,0.0,0.0,0.0,22.22
India VS West Indies,Ravi Shastri,c †Dujon b Roberts,2.0,ODI # 210,India,6.0,15.0,0.0,0.0,0.0,40.0
India VS West Indies,Mohinder Amarnath,c Lloyd b Holding,3.0,ODI # 210,India,80.0,139.0,0.0,0.0,0.0,57.55
India VS West Indies,Dilip Vengsarkar,retired hurt ,4.0,ODI # 210,India,32.0,59.0,0.0,0.0,0.0,54.23
India VS West Indies,Sandeep Patil,c & b Gomes,5.0,ODI # 210,India,21.0,31.0,0.0,0.0,0.0,67.74
India VS West Indies,Yashpal Sharma,run out ,6.0,ODI # 210,India,9.0,10.0,0.0,0.0,0.0,90.0
India VS West Indies,Kapil Dev,c Haynes b Holding,7.0,ODI # 210,India,36.0,46.0,0.0,0.0,0.0,78.26
India VS West Indies,Roger Binny,lbw b Holding,8.0,ODI # 210,India,1.0,4.0,0.0,0.0,0.0,25.0
India VS West Indies,Madan Lal,not out ,9.0,ODI # 210,India,8.0,15.0,0.0,0.0,0.0,53.33
India VS West Indies,Syed Kirmani, b Marshall,10.0,ODI # 210,India,0.0,2.0,0.0,0.0,0.0,0.0
India VS West Indies,Balwinder Sandhu,run out ,11.0,ODI # 210,India,0.0,2.0,0.0,0.0,0.0,0.0
England VS Pakistan,Mohsin Khan,c Tavare b Willis,1.0,ODI # 205,Pakistan,3.0,29.0,0.0,0.0,0.0,10.34
England VS Pakistan,Mudassar Nazar,c †Gould b Allott,2.0,ODI # 205,Pakistan,26.0,98.0,0.0,2.0,0.0,26.53
England VS Pakistan,Mansoor Akhtar,c †Gould b Willis,3.0,ODI # 205,Pakistan,3.0,15.0,0.0,0.0,0.0,20.0
England VS Pakistan,Javed Miandad,c †Gould b Botham,4.0,ODI # 205,Pakistan,14.0,26.0,0.0,2.0,0.0,53.84
England VS Pakistan,Zaheer Abbas,not out ,5.0,ODI # 205,Pakistan,83.0,104.0,0.0,7.0,1.0,79.8
England VS Pakistan,Imran Khan,run out ,6.0,ODI # 205,Pakistan,7.0,35.0,0.0,1.0,0.0,20.0
England VS Pakistan,Wasim Raja,c Botham b Marks,7.0,ODI # 205,Pakistan,9.0,19.0,0.0,2.0,0.0,47.36
England VS Pakistan,Abdul Qadir,run out ,8.0,ODI # 205,Pakistan,0.0,2.0,0.0,0.0,0.0,0.0
England VS Pakistan,Sarfraz Nawaz,c & b Botham,9.0,ODI # 205,Pakistan,11.0,15.0,0.0,2.0,0.0,73.33
England VS Pakistan,Wasim Bari,not out ,10.0,ODI # 205,Pakistan,18.0,21.0,0.0,1.0,0.0,85.71
England VS Pakistan,Graeme Fowler,not out ,1.0,ODI # 205,England,78.0,151.0,0.0,5.0,0.0,51.65
England VS Pakistan,Chris Tavaré,lbw b Rashid Khan,2.0,ODI # 205,England,8.0,21.0,0.0,0.0,0.0,38.09
England VS Pakistan,David Gower,c Sarfraz Nawaz b Mansoor Akhtar,3.0,ODI # 205,England,48.0,72.0,0.0,6.0,0.0,66.66
England VS Pakistan,Allan Lamb,not out ,4.0,ODI # 205,England,48.0,62.0,0.0,5.0,1.0,77.41
New Zealand VS Sri Lanka,Sidath Wettimuny,lbw b Hadlee,1.0,ODI # 206,Sri Lanka,7.0,19.0,0.0,1.0,0.0,36.84
New Zealand VS Sri Lanka,Brendon Kuruppu,c Hadlee b Chatfield,2.0,ODI # 206,Sri Lanka,26.0,60.0,0.0,5.0,0.0,43.33
New Zealand VS Sri Lanka,Roy Dias, b Chatfield,3.0,ODI # 206,Sri Lanka,25.0,43.0,0.0,4.0,0.0,58.13
New Zealand VS Sri Lanka,Duleep Mendis, b Hadlee,4.0,ODI # 206,Sri Lanka,43.0,70.0,0.0,2.0,0.0,61.42
New Zealand VS Sri Lanka,Ranjan Madugalle,c Snedden b Coney,5.0,ODI # 206,Sri Lanka,60.0,87.0,0.0,3.0,1.0,68.96
New Zealand VS Sri Lanka,Arjuna Ranatunga,lbw b Hadlee,6.0,ODI # 206,Sri Lanka,0.0,3.0,0.0,0.0,0.0,0.0
New Zealand VS Sri Lanka,Somachandra De Silva, b Coney,7.0,ODI # 206,Sri Lanka,13.0,20.0,0.0,0.0,0.0,65.0
New Zealand VS Sri Lanka,Guy de Alwis,c Howarth b Snedden,8.0,ODI # 206,Sri Lanka,16.0,17.0,0.0,2.0,0.0,94.11
New Zealand VS Sri Lanka,Ashantha de Mel,c & b Hadlee,9.0,ODI # 206,Sri Lanka,1.0,6.0,0.0,0.0,0.0,16.66
New Zealand VS Sri Lanka,Rumesh Ratnayake, b Hadlee,10.0,ODI # 206,Sri Lanka,5.0,9.0,0.0,0.0,0.0,55.55
New Zealand VS Sri Lanka,Vinothen John,not out ,11.0,ODI # 206,Sri Lanka,2.0,5.0,0.0,0.0,0.0,40.0
New Zealand VS Sri Lanka,Glenn Turner,c Mendis b de Silva,1.0,ODI # 206,New Zealand,50.0,60.0,0.0,8.0,0.0,83.33
New Zealand VS Sri Lanka,John Wright,lbw b de Mel,2.0,ODI # 206,New Zealand,45.0,52.0,0.0,8.0,0.0,86.53
New Zealand VS Sri Lanka,Geoff Howarth,c Madugalle b Ratnayake,3.0,ODI # 206,New Zealand,76.0,79.0,0.0,14.0,0.0,96.2
New Zealand VS Sri Lanka,Martin Crowe,c †de Alwis b de Mel,4.0,ODI # 206,New Zealand,0.0,11.0,0.0,0.0,0.0,0.0
New Zealand VS Sri Lanka,Jeff Crowe,lbw b John,5.0,ODI # 206,New Zealand,23.0,26.0,0.0,4.0,0.0,88.46
New Zealand VS Sri Lanka,Jeremy Coney,not out ,6.0,ODI # 206,New Zealand,2.0,10.0,0.0,0.0,0.0,20.0
New Zealand VS Sri Lanka,Ian Smith,not out ,7.0,ODI # 206,New Zealand,4.0,1.0,0.0,1.0,0.0,400.0
Australia VS India,Kepler Wessels, b Kapil Dev,1.0,ODI # 207,Australia,5.0,11.0,0.0,1.0,0.0,45.45
Australia VS India,Trevor Chappell,c Srikkanth b Amarnath,2.0,ODI # 207,Australia,110.0,131.0,0.0,11.0,0.0,83.96
Australia VS India,Kim Hughes, b Madan Lal,3.0,ODI # 207,Australia,52.0,86.0,0.0,3.0,0.0,60.46
Australia VS India,David Hookes,c Kapil Dev b Madan Lal,4.0,ODI # 207,Australia,1.0,4.0,0.0,0.0,0.0,25.0
Australia VS India,Graham Yallop,not out ,5.0,ODI # 207,Australia,66.0,73.0,0.0,5.0,0.0,90.41
Australia VS India,Allan Border,c Yashpal Sharma b Binny,6.0,ODI # 207,Australia,26.0,23.0,0.0,1.0,0.0,113.04
Australia VS India,Rod Marsh,c Sandhu b Kapil Dev,7.0,ODI # 207,Australia,12.0,15.0,0.0,1.0,0.0,80.0
Australia VS India,Ken MacLeay,c & b Kapil Dev,8.0,ODI # 207,Australia,4.0,5.0,0.0,0.0,0.0,80.0
Australia VS India,Tom Hogan, b Kapil Dev,9.0,ODI # 207,Australia,11.0,9.0,0.0,0.0,1.0,122.22
Australia VS India,Geoff Lawson,c Srikkanth b Kapil Dev,10.0,ODI # 207,Australia,6.0,3.0,0.0,1.0,0.0,200.0
Australia VS India,Rodney Hogg,not out ,11.0,ODI # 207,Australia,2.0,2.0,0.0,0.0,0.0,100.0
Australia VS India,Ravi Shastri,lbw b Lawson,1.0,ODI # 207,India,11.0,18.0,0.0,1.0,0.0,61.11
Australia VS India,Kris Srikkanth,c Border b Hogan,2.0,ODI # 207,India,39.0,63.0,0.0,6.0,0.0,61.9
Australia VS India,Mohinder Amarnath,run out ,3.0,ODI # 207,India,2.0,17.0,0.0,0.0,0.0,11.76
Australia VS India,Dilip Vengsarkar,lbw b MacLeay,4.0,ODI # 207,India,5.0,14.0,0.0,1.0,0.0,35.71
Australia VS India,Sandeep Patil, b MacLeay,5.0,ODI # 207,India,0.0,7.0,0.0,0.0,0.0,0.0
Australia VS India,Yashpal Sharma,c & b MacLeay,6.0,ODI # 207,India,3.0,11.0,0.0,0.0,0.0,27.27
Australia VS India,Kapil Dev, b Hogan,7.0,ODI # 207,India,40.0,27.0,0.0,2.0,1.0,148.14
Australia VS India,Madan Lal,c Hogan b MacLeay,8.0,ODI # 207,India,27.0,39.0,0.0,2.0,0.0,69.23
Australia VS India,Roger Binny,lbw b MacLeay,9.0,ODI # 207,India,0.0,6.0,0.0,0.0,0.0,0.0
Australia VS India,Syed Kirmani, b MacLeay,10.0,ODI # 207,India,12.0,23.0,0.0,2.0,0.0,52.17
Australia VS India,Balwinder Sandhu,not out ,11.0,ODI # 207,India,9.0,12.0,0.0,0.0,1.0,75.0
West Indies VS Zimbabwe,Ali Shah, b Roberts,1.0,ODI # 208,Zimbabwe,2.0,20.0,0.0,0.0,0.0,10.0
West Indies VS Zimbabwe,Grant Paterson,c †Dujon b Holding,2.0,ODI # 208,Zimbabwe,4.0,20.0,0.0,0.0,0.0,20.0
West Indies VS Zimbabwe,Jack Heron,st †Dujon b Gomes,3.0,ODI # 208,Zimbabwe,12.0,73.0,0.0,0.0,0.0,16.43
West Indies VS Zimbabwe,Andy Pycroft,run out ,4.0,ODI # 208,Zimbabwe,13.0,35.0,0.0,1.0,0.0,37.14
West Indies VS Zimbabwe,Dave Houghton,c †Dujon b Roberts,5.0,ODI # 208,Zimbabwe,54.0,92.0,0.0,5.0,1.0,58.69
West Indies VS Zimbabwe,Duncan Fletcher,not out ,6.0,ODI # 208,Zimbabwe,71.0,88.0,0.0,7.0,0.0,80.68
West Indies VS Zimbabwe,Kevin Curran, b Roberts,7.0,ODI # 208,Zimbabwe,7.0,15.0,0.0,1.0,0.0,46.66
West Indies VS Zimbabwe,Iain Butchart,lbw b Holding,8.0,ODI # 208,Zimbabwe,0.0,3.0,0.0,0.0,0.0,0.0
West Indies VS Zimbabwe,Gerald Peckover,not out ,9.0,ODI # 208,Zimbabwe,16.0,21.0,0.0,3.0,0.0,76.19
West Indies VS Zimbabwe,Gordon Greenidge,not out ,1.0,ODI # 208,West Indies,105.0,147.0,0.0,5.0,1.0,71.42
West Indies VS Zimbabwe,Desmond Haynes,c †Houghton b Rawson,2.0,ODI # 208,West Indies,2.0,5.0,0.0,0.0,0.0,40.0
West Indies VS Zimbabwe,Viv Richards,lbw b Rawson,3.0,ODI # 208,West Indies,16.0,13.0,0.0,2.0,0.0,123.07
West Indies VS Zimbabwe,Larry Gomes,not out ,4.0,ODI # 208,West Indies,75.0,128.0,0.0,5.0,0.0,58.59
England VS Sri Lanka,Graeme Fowler, b John,1.0,ODI # 201,England,22.0,59.0,0.0,1.0,0.0,37.28
England VS Sri Lanka,Chris Tavaré,c †de Alwis b Ranatunga,2.0,ODI # 201,England,32.0,61.0,0.0,4.0,0.0,52.45
England VS Sri Lanka,David Gower, b de Mel,3.0,ODI # 201,England,130.0,120.0,0.0,12.0,5.0,108.33
England VS Sri Lanka,Allan Lamb, b Ratnayake,4.0,ODI # 201,England,53.0,51.0,0.0,4.0,2.0,103.92
England VS Sri Lanka,Mike Gatting,run out ,5.0,ODI # 201,England,7.0,8.0,0.0,0.0,0.0,87.5
England VS Sri Lanka,Ian Botham,run out ,6.0,ODI # 201,England,0.0,1.0,0.0,0.0,0.0,0.0
England VS Sri Lanka,Ian Gould,c Ranatunga b Ratnayake,7.0,ODI # 201,England,35.0,40.0,0.0,2.0,0.0,87.5
England VS Sri Lanka,Graham Dilley, b de Mel,8.0,ODI # 201,England,29.0,16.0,0.0,5.0,0.0,181.25
England VS Sri Lanka,Vic Marks,run out ,9.0,ODI # 201,England,5.0,5.0,0.0,0.0,0.0,100.0
England VS Sri Lanka,Paul Allott,not out ,10.0,ODI # 201,England,0.0,0.0,0.0,0.0,0.0,0.0
England VS Sri Lanka,Sidath Wettimuny,lbw b Marks,1.0,ODI # 201,Sri Lanka,33.0,66.0,0.0,3.0,1.0,50.0
England VS Sri Lanka,Brendon Kuruppu,c Gatting b Dilley,2.0,ODI # 201,Sri Lanka,4.0,3.0,0.0,1.0,0.0,133.33
England VS Sri Lanka,Roy Dias,c Botham b Dilley,3.0,ODI # 201,Sri Lanka,2.0,15.0,0.0,0.0,0.0,13.33
England VS Sri Lanka,Duleep Mendis,c Willis b Marks,4.0,ODI # 201,Sri Lanka,56.0,64.0,0.0,5.0,1.0,87.5
England VS Sri Lanka,Ranjan Madugalle,c Tavare b Marks,5.0,ODI # 201,Sri Lanka,12.0,26.0,0.0,1.0,0.0,46.15
England VS Sri Lanka,Arjuna Ranatunga,c Lamb b Marks,6.0,ODI # 201,Sri Lanka,34.0,45.0,0.0,4.0,0.0,75.55
England VS Sri Lanka,Somachandra De Silva,st †Gould b Marks,7.0,ODI # 201,Sri Lanka,28.0,37.0,0.0,2.0,0.0,75.67
England VS Sri Lanka,Guy de Alwis,not out ,8.0,ODI # 201,Sri Lanka,58.0,51.0,0.0,6.0,1.0,113.72
England VS Sri Lanka,Ashantha de Mel,c Dilley b Allott,9.0,ODI # 201,Sri Lanka,27.0,26.0,0.0,2.0,0.0,103.84
England VS Sri Lanka,Rumesh Ratnayake,c Lamb b Dilley,10.0,ODI # 201,Sri Lanka,15.0,18.0,0.0,1.0,0.0,83.33
England VS Sri Lanka,Vinothen John, b Dilley,11.0,ODI # 201,Sri Lanka,0.0,1.0,0.0,0.0,0.0,0.0
New Zealand VS Pakistan,Glenn Turner,c †Wasim Bari b Rashid Khan,1.0,ODI # 202,New Zealand,27.0,37.0,0.0,5.0,0.0,72.97
New Zealand VS Pakistan,Bruce Edgar,c Imran Khan b Abdul Qadir,2.0,ODI # 202,New Zealand,44.0,107.0,0.0,3.0,0.0,41.12
New Zealand VS Pakistan,John Wright,c †Wasim Bari b Abdul Qadir,3.0,ODI # 202,New Zealand,9.0,14.0,0.0,2.0,0.0,64.28
New Zealand VS Pakistan,Lance Cairns, b Abdul Qadir,4.0,ODI # 202,New Zealand,4.0,6.0,0.0,1.0,0.0,66.66
New Zealand VS Pakistan,Geoff Howarth,st †Wasim Bari b Abdul Qadir,5.0,ODI # 202,New Zealand,16.0,35.0,0.0,1.0,0.0,45.71
New Zealand VS Pakistan,Jeremy Coney,c Ijaz Faqih b Shahid Mahboob,6.0,ODI # 202,New Zealand,33.0,65.0,0.0,3.0,0.0,50.76
New Zealand VS Pakistan,Martin Crowe,c Mohsin Khan b Rashid Khan,7.0,ODI # 202,New Zealand,34.0,53.0,0.0,2.0,0.0,64.15
New Zealand VS Pakistan,Richard Hadlee,c †Wasim Bari b Sarfraz Nawaz,8.0,ODI # 202,New Zealand,13.0,11.0,0.0,1.0,0.0,118.18
New Zealand VS Pakistan,John Bracewell,lbw b Rashid Khan,9.0,ODI # 202,New Zealand,3.0,6.0,0.0,0.0,0.0,50.0
New Zealand VS Pakistan,Warren Lees,not out ,10.0,ODI # 202,New Zealand,24.0,21.0,0.0,2.0,0.0,114.28
New Zealand VS Pakistan,Ewen Chatfield,not out ,11.0,ODI # 202,New Zealand,6.0,8.0,0.0,0.0,0.0,75.0
New Zealand VS Pakistan,Mohsin Khan,lbw b Hadlee,1.0,ODI # 202,Pakistan,0.0,3.0,0.0,0.0,0.0,0.0
New Zealand VS Pakistan,Mudassar Nazar,c †Lees b Cairns,2.0,ODI # 202,Pakistan,0.0,2.0,0.0,0.0,0.0,0.0
New Zealand VS Pakistan,Zaheer Abbas, b Hadlee,3.0,ODI # 202,Pakistan,0.0,3.0,0.0,0.0,0.0,0.0
New Zealand VS Pakistan,Javed Miandad,lbw b Chatfield,4.0,ODI # 202,Pakistan,35.0,61.0,0.0,3.0,0.0,57.37
New Zealand VS Pakistan,Imran Khan,c Chatfield b Hadlee,5.0,ODI # 202,Pakistan,9.0,26.0,0.0,1.0,0.0,34.61
New Zealand VS Pakistan,Ijaz Faqih,c Edgar b Coney,6.0,ODI # 202,Pakistan,12.0,37.0,0.0,1.0,0.0,32.43
New Zealand VS Pakistan,Shahid Mahboob,c Wright b Coney,7.0,ODI # 202,Pakistan,17.0,31.0,0.0,2.0,0.0,54.83
New Zealand VS Pakistan,Wasim Bari,c Edgar b Coney,8.0,ODI # 202,Pakistan,34.0,71.0,0.0,2.0,0.0,47.88
New Zealand VS Pakistan,Abdul Qadir,not out ,9.0,ODI # 202,Pakistan,41.0,68.0,0.0,2.0,1.0,60.29
New Zealand VS Pakistan,Sarfraz Nawaz,c Crowe b Chatfield,10.0,ODI # 202,Pakistan,13.0,14.0,0.0,2.0,0.0,92.85
New Zealand VS Pakistan,Rashid Khan,c & b Cairns,11.0,ODI # 202,Pakistan,9.0,21.0,0.0,0.0,0.0,42.85
Australia VS West Indies,Gordon Greenidge,c Wood b Hogg,1.0,ODI # 203,West Indies,4.0,8.0,0.0,1.0,0.0,50.0
Australia VS West Indies,Desmond Haynes,c †Marsh b Lawson,2.0,ODI # 203,West Indies,13.0,29.0,0.0,1.0,0.0,44.82
Australia VS West Indies,Viv Richards, b Lawson,3.0,ODI # 203,West Indies,7.0,16.0,0.0,1.0,0.0,43.75
Australia VS West Indies,Larry Gomes,c †Marsh b Lillee,4.0,ODI # 203,West Indies,78.0,153.0,0.0,4.0,0.0,50.98
Australia VS West Indies,Clive Lloyd,lbw b MacLeay,5.0,ODI # 203,West Indies,19.0,42.0,0.0,1.0,1.0,45.23
Australia VS West Indies,Faoud Bacchus,c Wessels b Yallop,6.0,ODI # 203,West Indies,47.0,59.0,0.0,5.0,0.0,79.66
Australia VS West Indies,Jeff Dujon,lbw b Lawson,7.0,ODI # 203,West Indies,12.0,34.0,0.0,0.0,0.0,35.29
Australia VS West Indies,Andy Roberts,c †Marsh b Lillee,8.0,ODI # 203,West Indies,5.0,14.0,0.0,0.0,0.0,35.71
Australia VS West Indies,Michael Holding,run out ,9.0,ODI # 203,West Indies,20.0,13.0,0.0,2.0,0.0,153.84
Australia VS West Indies,Wayne Daniel,not out ,10.0,ODI # 203,West Indies,16.0,12.0,0.0,2.0,0.0,133.33
Australia VS West Indies,Graeme Wood,retired hurt ,1.0,ODI # 203,Australia,2.0,19.0,0.0,0.0,0.0,10.52
Australia VS West Indies,Kepler Wessels, b Roberts,2.0,ODI # 203,Australia,11.0,27.0,0.0,2.0,0.0,40.74
Australia VS West Indies,Kim Hughes,c Lloyd b Davis,3.0,ODI # 203,Australia,18.0,16.0,0.0,0.0,2.0,112.5
Australia VS West Indies,David Hookes,c †Dujon b Davis,4.0,ODI # 203,Australia,45.0,45.0,0.0,5.0,0.0,100.0
Australia VS West Indies,Graham Yallop,c Holding b Davis,5.0,ODI # 203,Australia,29.0,26.0,0.0,4.0,0.0,111.53
Australia VS West Indies,Allan Border,c Lloyd b Davis,6.0,ODI # 203,Australia,17.0,22.0,0.0,2.0,0.0,77.27
Australia VS West Indies,Ken MacLeay,c Haynes b Davis,7.0,ODI # 203,Australia,1.0,8.0,0.0,0.0,0.0,12.5
Australia VS West Indies,Rod Marsh,c Haynes b Holding,8.0,ODI # 203,Australia,8.0,15.0,0.0,1.0,0.0,53.33
Australia VS West Indies,Geoff Lawson,c †Dujon b Davis,9.0,ODI # 203,Australia,2.0,8.0,0.0,0.0,0.0,25.0
Australia VS West Indies,Rodney Hogg,not out ,10.0,ODI # 203,Australia,0.0,2.0,0.0,0.0,0.0,0.0
Australia VS West Indies,Dennis Lillee, b Davis,11.0,ODI # 203,Australia,0.0,2.0,0.0,0.0,0.0,0.0
India VS Zimbabwe,Ali Shah,c †Kirmani b Sandhu,1.0,ODI # 204,Zimbabwe,8.0,32.0,0.0,1.0,0.0,25.0
India VS Zimbabwe,Grant Paterson,lbw b Madan Lal,2.0,ODI # 204,Zimbabwe,22.0,51.0,0.0,2.0,0.0,43.13
India VS Zimbabwe,Jack Heron,c †Kirmani b Madan Lal,3.0,ODI # 204,Zimbabwe,18.0,30.0,0.0,2.0,0.0,60.0
India VS Zimbabwe,Andy Pycroft,c Shastri b Binny,4.0,ODI # 204,Zimbabwe,14.0,21.0,0.0,1.0,0.0,66.66
India VS Zimbabwe,Dave Houghton,c †Kirmani b Madan Lal,5.0,ODI # 204,Zimbabwe,21.0,47.0,0.0,1.0,0.0,44.68
India VS Zimbabwe,Duncan Fletcher, b Kapil Dev,6.0,ODI # 204,Zimbabwe,13.0,32.0,0.0,0.0,0.0,40.62
India VS Zimbabwe,Kevin Curran,run out ,7.0,ODI # 204,Zimbabwe,8.0,16.0,0.0,0.0,0.0,50.0
India VS Zimbabwe,Iain Butchart,not out ,8.0,ODI # 204,Zimbabwe,22.0,35.0,0.0,2.0,0.0,62.85
India VS Zimbabwe,Robin Brown,c †Kirmani b Shastri,9.0,ODI # 204,Zimbabwe,6.0,27.0,0.0,0.0,0.0,22.22
India VS Zimbabwe,Peter Rawson,c †Kirmani b Binny,10.0,ODI # 204,Zimbabwe,3.0,6.0,0.0,0.0,0.0,50.0
India VS Zimbabwe,John Traicos,run out ,11.0,ODI # 204,Zimbabwe,2.0,13.0,0.0,0.0,0.0,15.38
India VS Zimbabwe,Kris Srikkanth,c Butchart b Rawson,1.0,ODI # 204,India,20.0,27.0,0.0,0.0,0.0,74.07
India VS Zimbabwe,Sunil Gavaskar,c Heron b Rawson,2.0,ODI # 204,India,4.0,11.0,0.0,0.0,0.0,36.36
India VS Zimbabwe,Mohinder Amarnath,c sub b Traicos,3.0,ODI # 204,India,44.0,79.0,0.0,4.0,0.0,55.69
India VS Zimbabwe,Sandeep Patil, b Fletcher,4.0,ODI # 204,India,50.0,54.0,0.0,7.0,1.0,92.59
India VS Zimbabwe,Ravi Shastri,c Brown b Omarshah,5.0,ODI # 204,India,17.0,27.0,0.0,1.0,0.0,62.96
India VS Zimbabwe,Yashpal Sharma,not out ,6.0,ODI # 204,India,18.0,19.0,0.0,2.0,0.0,94.73
India VS Zimbabwe,Kapil Dev,not out ,7.0,ODI # 204,India,2.0,8.0,0.0,0.0,0.0,25.0
England VS New Zealand,Graeme Fowler,c Coney b Cairns,1.0,ODI # 197,England,8.0,19.0,0.0,1.0,0.0,42.1
England VS New Zealand,Chris Tavaré,c Edgar b Chatfield,2.0,ODI # 197,England,45.0,91.0,0.0,4.0,0.0,49.45
England VS New Zealand,David Gower,c Edgar b Coney,3.0,ODI # 197,England,39.0,62.0,0.0,6.0,0.0,62.9
England VS New Zealand,Allan Lamb, b Snedden,4.0,ODI # 197,England,102.0,105.0,0.0,12.0,2.0,97.14
England VS New Zealand,Mike Gatting, b Snedden,5.0,ODI # 197,England,43.0,47.0,0.0,3.0,0.0,91.48
England VS New Zealand,Ian Botham,c †Lees b Hadlee,6.0,ODI # 197,England,22.0,16.0,0.0,0.0,1.0,137.5
England VS New Zealand,Ian Gould,not out ,7.0,ODI # 197,England,14.0,12.0,0.0,1.0,0.0,116.66
