Player,Runs,Average Runs,Strike Rate,Centuries,Half Centuries,Highest Run,No. of Balls,Average Balls Faced
Babar Azam,794.0,46.71,83.38,1,8,101.0,926.0,55
Babu Meman,19.0,19.0,86.36,0,0,19.0,22.0,22
Balaji Rao,22.0,4.4,51.66,0,0,9.0,41.0,9
Balwinder Sandhu,28.0,7.0,39.02,0,0,11.0,62.0,16
Bandula Warnapura,79.0,15.8,35.48,0,0,31.0,217.0,44
Barry Hadlee,19.0,19.0,24.67,0,0,19.0,77.0,77
Barry Seebaran,4.0,1.33,11.11,0,0,4.0,13.0,5
Barry Wood,83.0,41.5,43.68,0,1,77.0,157.0,79
Bas Zuiderent,196.0,10.89,39.33,0,1,54.0,395.0,22
Bas de Leede,139.0,15.44,58.71,0,1,67.0,199.0,23
Ben Stokes,769.0,48.06,84.03,1,8,108.0,840.0,53
Berend Westdijk,0.0,0.0,0.0,0,0,0.0,3.0,2
Bernard Julien,22.0,11.0,62.5,0,0,18.0,45.0,23
Bernard Loots,6.0,2.0,28.57,0,0,6.0,8.0,3
Bhuvneshwar Kumar,2.0,1.0,33.33,0,0,2.0,4.0,2
Bill Athey,211.0,35.17,63.83,0,2,86.0,325.0,55
Billy Stelling,1.0,1.0,25.0,0,0,1.0,4.0,4
Bishan Bedi,25.0,6.25,46.84,0,0,13.0,53.0,14
Bjorn Kotze,27.0,6.75,24.85,0,0,24.0,51.0,13
Bob Taylor,32.0,10.67,27.3,0,0,20.0,85.0,29
Bob Willis,25.0,6.25,28.71,0,0,24.0,44.0,11
Boeta Dippenaar,108.0,36.0,67.04,0,1,80.0,158.0,53
Boyd Rankin,24.0,3.0,36.35,0,0,7.0,70.0,9
Brad Haddin,458.0,41.64,127.75,0,4,88.0,501.0,46
Brad Hodge,152.0,76.0,120.88,1,1,123.0,117.0,59
Brad Hogg,87.0,9.67,69.42,0,0,40.0,83.0,10
Bradley Kruger,8.0,8.0,66.66,0,0,8.0,12.0,12
Brendan Taylor,690.0,46.0,79.78,2,5,138.0,778.0,52
Brendon Julian,9.0,9.0,150.0,0,0,9.0,6.0,6
Brendon Kuruppu,251.0,22.82,52.48,0,2,72.0,503.0,46
Brendon McCullum,742.0,27.48,126.76,1,7,101.0,614.0,23
Brett Lee,28.0,7.0,92.98,0,0,15.0,43.0,11
Brian Hastings,76.0,19.0,66.06,0,0,34.0,139.0,35
Brian Lara,1225.0,37.12,80.24,2,9,116.0,1420.0,44
Brian McKechnie,45.0,11.25,34.77,0,0,27.0,112.0,28
Brian McMillan,145.0,16.11,67.47,0,0,33.0,192.0,22
Brian Murphy,3.0,1.5,36.11,0,0,2.0,11.0,6
Brijal Patel,56.0,11.2,34.43,0,0,32.0,116.0,24
Brijesh Patel,88.0,17.6,48.38,0,0,38.0,195.0,39
Bruce Edgar,194.0,24.25,39.66,0,1,84.0,446.0,56
Bruce Patterson,10.0,3.33,9.26,0,0,10.0,43.0,15
Bruce Reid,10.0,2.0,29.28,0,0,5.0,41.0,9
Bryan Mauricette,20.0,6.67,20.73,0,0,15.0,68.0,23
