Player,No. of Wickets,Bowling Average,Average ECON,Average Strike Rate,Total Five Wicket Hauls,Average Balls,Total Overs
Chris Woakes,31,14.94,5.44,18.47,0,44.42,177.0
Clive Lloyd,2,22.67,3.9,40.0,0,48.0,24.0
Colin Ackermann,5,11.06,5.22,14.89,0,31.56,47.2
Colin Croft,8,23.17,3.27,43.5,0,64.5,43.0
Colin Munro,0,0.0,9.0,0.0,0,6.0,1.0
Colin de Grandhomme,6,14.7,5.38,22.8,0,30.6,51.0
Collins Obuya,14,13.96,5.41,17.27,1,37.0,91.9
Collis King,2,18.5,4.24,33.0,0,48.0,32.0
Corey Anderson,14,12.17,8.03,10.61,0,24.11,35.7
Corey Collymore,6,16.29,4.09,23.0,0,54.29,63.2
Cornelius Henry,2,6.75,3.95,15.0,0,45.0,15.0
Courtney Walsh,27,18.22,3.46,27.24,0,55.76,157.6
Craig Matthews,7,25.5,3.79,39.75,0,59.5,59.3
Craig McDermott,27,21.86,4.01,33.12,1,52.59,149.0
Craig McMillan,3,1.1,5.43,1.43,0,22.71,26.3
Craig White,9,17.57,3.82,27.14,0,44.14,51.3
Craig Wright,1,29.0,5.03,30.0,0,42.0,14.0
Curtly Ambrose,24,13.74,3.06,28.21,0,58.06,164.3
Daan van Bunge,6,3.8,7.8,4.17,0,17.17,17.1
Dale Steyn,23,29.18,4.55,35.4,1,49.29,114.2
Damien Fleming,26,23.42,4.41,32.64,1,50.0,132.4
Damien Martyn,0,0.0,8.88,0.0,0,18.0,6.0
Daniel Vettori,36,14.94,4.18,21.1,0,54.48,280.9
Danish Kaneria,3,34.5,8.5,33.0,0,39.0,13.0
Danny Morrison,8,16.36,5.06,21.45,0,43.09,79.0
Daren Powell,14,13.96,4.42,22.56,0,56.67,85.0
Daren Sammy,9,10.18,5.59,12.31,0,34.15,74.0
Darren Gough,15,17.77,4.52,26.82,0,54.36,99.4
Darren Lehmann,6,7.19,4.86,12.0,0,28.5,38.0
Darron Reekers,1,7.67,6.28,12.0,0,34.0,17.0
Daryl Mitchell,0,0.0,6.5,0.0,0,4.5,1.3
Daryl Tuffey,1,13.67,5.99,20.0,0,42.0,21.0
Daryll Cullinan,0,0.0,3.5,0.0,0,12.0,2.0
Dasun Shanaka,0,0.0,5.8,0.0,0,33.0,11.0
Dave Houghton,1,19.0,9.5,12.0,0,12.0,2.0
Dave Langford-Smith,7,14.11,5.29,21.33,0,44.0,66.0
David Boon,0,0.0,17.0,0.0,0,6.0,1.0
David Hemp,0,0.0,16.0,0.0,0,12.0,2.0
David Hussey,2,15.5,3.4,27.0,0,27.0,9.0
David Tikolo,0,0.0,6.83,0.0,0,16.0,8.0
David Willey,11,17.7,5.06,22.67,0,51.0,51.0
Davis Joseph,5,22.25,6.39,18.75,0,46.5,31.0
Dawlat Zadran,14,25.0,6.7,22.3,0,48.0,80.0
Dayle Hadlee,8,26.12,3.6,39.0,0,69.0,46.0
Dean Jones,0,0.0,5.0,0.0,0,6.0,1.0
Debasis Mohanty,10,23.25,5.18,24.5,0,52.0,52.0
Delyone Borden,2,5.0,7.5,5.0,0,20.0,10.0
Dennis Lillee,11,18.73,3.98,25.05,1,64.5,86.0
Deon Kotze,2,11.17,5.73,18.0,0,47.0,47.0
Derek Pringle,8,4.09,3.89,10.42,0,49.45,90.4
Derek Underwood,2,7.5,1.8,18.0,0,66.0,22.0
Dermot Reeve,9,6.17,4.05,14.4,0,27.2,44.8
Devendra Bishoo,4,19.78,4.33,26.67,0,50.0,25.0
Devon Smith,0,0.0,6.0,0.0,0,5.0,0.5
Dewald Nel,0,0.0,8.0,0.0,0,18.0,3.0
Dhananjaya de Silva,5,2.19,6.65,2.86,0,26.57,62.0
Dilhara Fernando,13,14.21,5.93,14.0,0,36.12,96.2
Dilshan Madushanka,21,17.88,6.79,16.61,1,52.22,77.8
Dimuth Karunaratne,0,0.0,7.0,0.0,0,6.0,1.0
Dinesh Mongia,5,11.33,3.82,16.17,0,32.17,32.1
Dion Nash,9,12.9,4.19,21.15,0,53.54,116.0
Dipak Patel,13,16.41,4.3,25.25,0,52.5,140.0
Dominic Cork,8,30.4,4.58,39.6,0,57.6,48.0
Don Anurasiri,9,24.88,4.41,31.82,0,57.27,105.0
Don Pringle,0,0.0,4.04,0.0,0,45.0,15.0
Doug Walters,1,14.5,5.17,18.0,0,36.0,12.0
Dougie Brown,1,28.67,8.18,18.0,0,30.0,15.0
Dougie Marillier,4,24.88,5.49,36.75,0,45.0,30.0
Douglas Hondo,6,28.88,5.16,31.0,0,37.75,50.2
Duncan Fletcher,7,21.42,4.55,29.75,0,50.17,50.1
Dunith Wellalage,2,44.67,6.66,38.67,0,58.67,29.2
Dushan Hemantha,0,0.0,5.88,0.0,0,48.0,16.0
Dushmantha Chameera,5,18.0,7.65,16.39,0,40.5,40.3
