VS,Match Id,Player,Overs,Teaminnings,Mins,Given Runs,Wickets,ECON,Dot Balls,Fours,Sixs,Wides,No Balls,Bowling Average,Balls,Strike Rate,Five Wicket Hauls,Bowling Figure
Zimbabwe VS Australia,ODI # 1966,Martin Suji,8.0,Sri Lanka,1,24,1,3.0,38,4,0,0,0,24.0,48,48.0,0,1/24
Zimbabwe VS Australia,ODI # 1966,Thomas Odoyo,7.0,Sri Lanka,0,33,1,4.71,28,5,0,1,0,33.0,42,42.0,0,1/33
Zimbabwe VS Australia,ODI # 1966,Collins Obuya,10.0,Sri Lanka,0,24,5,2.4,44,1,0,1,1,4.8,60,12.0,1,5/24
Zimbabwe VS Australia,ODI # 1966,Peter Ongondo,5.0,Sri Lanka,0,22,0,4.4,16,0,1,1,0,0.0,30,0.0,0,0/22
Zimbabwe VS Australia,ODI # 1966,Maurice Odumbe,10.0,Sri Lanka,0,39,1,3.9,34,3,0,2,0,39.0,60,60.0,0,1/39
Zimbabwe VS Australia,ODI # 1966,Steve Tikolo,5.0,Sri Lanka,1,13,2,2.6,20,1,0,0,0,6.5,30,15.0,0,2/13
Kenya VS Sri Lanka,ODI # 1965,Mervyn Dillon,5.0,Canada,0,41,0,8.2,17,4,2,1,0,0.0,30,0.0,0,0/41
Kenya VS Sri Lanka,ODI # 1965,Pedro Collins,7.0,Canada,1,35,1,5.0,31,3,1,1,3,35.0,42,42.0,0,1/35
Kenya VS Sri Lanka,ODI # 1965,Vasbert Drakes,9.5,Canada,1,44,5,4.47,46,3,2,0,3,8.8,59,11.8,1,5/44
Kenya VS Sri Lanka,ODI # 1965,Carl Hooper,8.0,Canada,1,31,0,3.87,28,2,0,1,0,0.0,48,0.0,0,0/31
Kenya VS Sri Lanka,ODI # 1965,Chris Gayle,9.0,Canada,1,29,0,3.22,38,1,2,0,0,0.0,54,0.0,0,0/29
Kenya VS Sri Lanka,ODI # 1965,Wavell Hinds,4.0,Canada,0,19,2,4.75,13,2,0,0,0,9.5,24,12.0,0,2/19
Kenya VS Sri Lanka,ODI # 1965,Davis Joseph,4.0,West Indies,0,47,1,11.75,11,7,2,2,0,47.0,24,24.0,0,1/47
Kenya VS Sri Lanka,ODI # 1965,Austin Codrington,4.0,West Indies,0,25,0,6.25,17,4,1,1,0,0.0,24,0.0,0,0/25
Kenya VS Sri Lanka,ODI # 1965,Nicholas Ifill,4.0,West Indies,0,46,0,11.5,10,7,1,4,1,0.0,24,0.0,0,0/46
Kenya VS Sri Lanka,ODI # 1965,Barry Seebaran,1.0,West Indies,0,26,0,26.0,1,2,3,0,0,0.0,6,0.0,0,0/26
Kenya VS Sri Lanka,ODI # 1965,John Davison,5.0,West Indies,0,36,1,7.2,15,6,0,1,0,36.0,30,30.0,0,1/36
Kenya VS Sri Lanka,ODI # 1965,Nicholas de Groot,2.3,West Indies,0,21,1,8.4,5,2,1,0,0,21.0,15,15.0,0,1/21
Canada VS West Indies,ODI # 1963,Gerrie Snyman,10.0,India,0,57,0,5.7,29,5,0,3,1,0.0,60,0.0,0,0/57
Canada VS West Indies,ODI # 1963,Rudi van Vuuren,10.0,India,1,53,2,5.3,38,8,1,1,0,26.5,60,30.0,0,2/53
Canada VS West Indies,ODI # 1963,Louis Burger,6.0,India,0,49,0,8.16,14,6,0,1,0,0.0,36,0.0,0,0/49
Canada VS West Indies,ODI # 1963,Burton van Rooi,6.0,India,0,36,0,6.0,16,2,1,1,0,0.0,36,0.0,0,0/36
Canada VS West Indies,ODI # 1963,Bjorn Kotze,10.0,India,0,64,0,6.4,20,6,0,0,0,0.0,60,0.0,0,0/64
Canada VS West Indies,ODI # 1963,Deon Kotze,8.0,India,0,50,0,6.25,21,2,2,3,0,0.0,48,0.0,0,0/50
Canada VS West Indies,ODI # 1963,Javagal Srinath,6.0,Namibia,0,25,0,4.16,27,3,1,1,0,0.0,36,0.0,0,0/25
Canada VS West Indies,ODI # 1963,Ashish Nehra,0.1,Namibia,0,0,0,0.0,1,0,0,0,0,0.0,1,0.0,0,0/0
Canada VS West Indies,ODI # 1963,Zaheer Khan,7.5,Namibia,0,24,2,3.06,37,3,0,1,2,12.0,47,23.5,0,2/24
Canada VS West Indies,ODI # 1963,Harbhajan Singh,10.0,Namibia,1,34,2,3.4,43,2,0,1,0,17.0,60,30.0,0,2/34
Canada VS West Indies,ODI # 1963,Dinesh Mongia,10.0,Namibia,1,24,2,2.4,46,0,1,1,0,12.0,60,30.0,0,2/24
Canada VS West Indies,ODI # 1963,Virender Sehwag,4.0,Namibia,0,16,0,4.0,16,2,0,0,1,0.0,24,0.0,0,0/16
Canada VS West Indies,ODI # 1963,Yuvraj Singh,4.3,Namibia,2,6,4,1.33,22,0,0,0,0,1.5,27,6.75,0,4/6
India VS Namibia,ODI # 1964,Wasim Akram,10.0,England,1,37,1,3.7,41,2,0,3,3,37.0,60,60.0,0,1/37
India VS Namibia,ODI # 1964,Shoaib Akhtar,9.0,England,1,63,1,7.0,30,6,2,3,1,63.0,54,54.0,0,1/63
India VS Namibia,ODI # 1964,Waqar Younis,7.0,England,0,37,2,5.28,25,6,0,0,0,18.5,42,21.0,0,2/37
India VS Namibia,ODI # 1964,Saqlain Mushtaq,10.0,England,0,44,2,4.4,31,2,0,0,0,22.0,60,30.0,0,2/44
India VS Namibia,ODI # 1964,Shahid Afridi,8.0,England,0,36,2,4.5,23,2,0,0,0,18.0,48,24.0,0,2/36
India VS Namibia,ODI # 1964,Abdul Razzaq,6.0,England,0,28,0,4.66,21,3,0,1,1,0.0,36,0.0,0,0/28
India VS Namibia,ODI # 1964,Andy Caddick,7.0,Pakistan,0,27,1,3.85,29,1,1,4,0,27.0,42,42.0,0,1/27
India VS Namibia,ODI # 1964,James Anderson,10.0,Pakistan,2,29,4,2.9,48,3,0,3,0,7.25,60,15.0,0,4/29
India VS Namibia,ODI # 1964,Andrew Flintoff,9.0,Pakistan,2,37,2,4.11,41,5,1,4,0,18.5,54,27.0,0,2/37
India VS Namibia,ODI # 1964,Craig White,5.0,Pakistan,0,33,3,6.6,17,3,2,0,0,11.0,30,10.0,0,3/33
England VS Pakistan,ODI # 1962,Shaun Pollock,6.0,Bangladesh,2,8,2,1.33,32,0,0,0,3,4.0,36,18.0,0,2/8
England VS Pakistan,ODI # 1962,Makhaya Ntini,7.1,Bangladesh,1,24,4,3.34,34,3,0,0,2,6.0,43,10.75,0,4/24
England VS Pakistan,ODI # 1962,Monde Zondeki,5.0,Bangladesh,1,17,1,3.4,21,0,0,4,0,17.0,30,30.0,0,1/17
England VS Pakistan,ODI # 1962,Andrew Hall,6.0,Bangladesh,2,15,2,2.5,32,2,0,3,2,7.5,36,18.0,0,2/15
England VS Pakistan,ODI # 1962,Jacques Kallis,5.0,Bangladesh,0,19,0,3.8,18,1,0,1,1,0.0,30,0.0,0,0/19
England VS Pakistan,ODI # 1962,Robin Peterson,6.0,Bangladesh,0,21,0,3.5,23,1,1,0,0,0.0,36,0.0,0,0/21
England VS Pakistan,ODI # 1962,Manjurul Islam,4.0,South Africa,0,26,0,6.5,14,5,0,0,0,0.0,24,0.0,0,0/26
England VS Pakistan,ODI # 1962,Talha Jubair,2.0,South Africa,0,24,0,12.0,7,4,0,6,0,0.0,12,0.0,0,0/24
England VS Pakistan,ODI # 1962,Khaled Mahmud,2.0,South Africa,0,20,0,10.0,6,4,0,1,0,0.0,12,0.0,0,0/20
England VS Pakistan,ODI # 1962,Mohammad Rafique,2.0,South Africa,0,20,0,10.0,6,3,1,0,0,0.0,12,0.0,0,0/20
England VS Pakistan,ODI # 1962,Alok Kapali,2.0,South Africa,0,18,0,9.0,4,1,1,0,0,0.0,12,0.0,0,0/18
South Africa VS Bangladesh,ODI # 1961,Edgar Schiferli,7.0,Australia,0,42,0,6.0,25,7,0,1,0,0.0,42,0.0,0,0/42
South Africa VS Bangladesh,ODI # 1961,Roland Lefebvre,8.0,Australia,2,19,0,2.37,36,1,0,2,0,0.0,48,0.0,0,0/19
South Africa VS Bangladesh,ODI # 1961,Tim de Leede,7.0,Australia,0,34,2,4.85,25,3,0,4,0,17.0,42,21.0,0,2/34
South Africa VS Bangladesh,ODI # 1961,Feiko Kloppenburg,7.0,Australia,0,32,0,4.57,18,2,0,1,0,0.0,42,0.0,0,0/32
South Africa VS Bangladesh,ODI # 1961,Jacob-Jan Esmeijer,5.0,Australia,0,16,0,3.2,16,0,0,0,0,0.0,30,0.0,0,0/16
South Africa VS Bangladesh,ODI # 1961,Daan van Bunge,2.0,Australia,0,20,0,10.0,3,3,0,0,0,0.0,12,0.0,0,0/20
South Africa VS Bangladesh,ODI # 1961,Glenn McGrath,3.0,Netherlands,1,10,0,3.33,13,1,0,1,0,0.0,18,0.0,0,0/10
South Africa VS Bangladesh,ODI # 1961,Jason Gillespie,3.0,Netherlands,0,7,2,2.33,16,0,0,3,0,3.5,18,9.0,0,2/7
South Africa VS Bangladesh,ODI # 1961,Darren Lehmann,8.0,Netherlands,0,27,2,3.37,33,1,1,1,0,13.5,48,24.0,0,2/27
South Africa VS Bangladesh,ODI # 1961,Andrew Symonds,7.0,Netherlands,0,36,0,5.14,26,4,0,4,0,0.0,42,0.0,0,0/36
South Africa VS Bangladesh,ODI # 1961,Andy Bichel,5.0,Netherlands,0,13,3,2.6,23,1,0,1,0,4.33,30,10.0,0,3/13
South Africa VS Bangladesh,ODI # 1961,Ian Harvey,4.2,Netherlands,0,25,3,5.76,17,2,1,1,1,8.33,26,8.67,0,3/25
Australia VS Netherlands,ODI # 1960,Chaminda Vaas,7.0,Canada,4,15,3,2.14,36,3,0,0,0,5.0,42,14.0,0,3/15
Australia VS Netherlands,ODI # 1960,Prabath Nissanka,7.0,Canada,1,12,4,1.71,38,2,0,1,1,3.0,42,10.5,0,4/12
Australia VS Netherlands,ODI # 1960,Muthiah Muralidaran,2.4,Canada,0,3,1,1.12,13,0,0,0,0,3.0,16,16.0,0,1/3
Australia VS Netherlands,ODI # 1960,Dilhara Fernando,2.0,Canada,0,4,2,2.0,10,0,0,1,0,2.0,12,6.0,0,2/4
Australia VS Netherlands,ODI # 1960,Sanjayan Thuraisingam,2.4,Sri Lanka,0,22,1,8.25,8,4,0,0,0,22.0,16,16.0,0,1/22
Australia VS Netherlands,ODI # 1960,John Davison,2.0,Sri Lanka,0,15,0,7.5,6,2,0,0,0,0.0,12,0.0,0,0/15
Canada VS Sri Lanka,ODI # 1958,Gerrie Snyman,10.0,England,0,69,3,6.9,27,7,1,2,2,23.0,60,20.0,0,3/69
Canada VS Sri Lanka,ODI # 1958,Rudi van Vuuren,10.0,England,2,43,5,4.3,40,5,1,0,0,8.6,60,12.0,1,5/43
Canada VS Sri Lanka,ODI # 1958,Louis Burger,9.0,England,0,45,0,5.0,27,4,0,0,1,0.0,54,0.0,0,0/45
Canada VS Sri Lanka,ODI # 1958,Bjorn Kotze,3.0,England,0,24,0,8.0,7,4,0,0,0,0.0,18,0.0,0,0/24
Canada VS Sri Lanka,ODI # 1958,Deon Kotze,10.0,England,0,35,1,3.5,36,1,1,0,0,35.0,60,60.0,0,1/35
Canada VS Sri Lanka,ODI # 1958,Jan-Berrie Burger,2.0,England,0,23,1,11.5,4,4,0,2,0,23.0,12,12.0,0,1/23
Canada VS Sri Lanka,ODI # 1958,Sarel Burger,6.0,England,0,32,0,5.33,13,1,1,0,0,0.0,36,0.0,0,0/32
Canada VS Sri Lanka,ODI # 1958,Andy Caddick,8.0,Namibia,2,28,0,3.5,38,4,0,2,0,0.0,48,0.0,0,0/28
Canada VS Sri Lanka,ODI # 1958,James Anderson,8.0,Namibia,0,44,1,5.5,27,4,1,3,0,44.0,48,48.0,0,1/44
Canada VS Sri Lanka,ODI # 1958,Andrew Flintoff,10.0,Namibia,2,33,2,3.3,44,4,0,1,0,16.5,60,30.0,0,2/33
Canada VS Sri Lanka,ODI # 1958,Craig White,10.0,Namibia,0,46,2,4.6,35,2,2,0,2,23.0,60,30.0,0,2/46
Canada VS Sri Lanka,ODI # 1958,Michael Vaughan,6.0,Namibia,0,31,0,5.16,16,3,0,0,1,0.0,36,0.0,0,0/31
Canada VS Sri Lanka,ODI # 1958,Ronnie Irani,8.0,Namibia,0,30,3,3.75,26,3,0,0,0,10.0,48,16.0,0,3/30
England VS Namibia,ODI # 1959,Heath Streak,9.0,India,0,46,1,5.11,27,5,0,1,0,46.0,54,54.0,0,1/46
England VS Namibia,ODI # 1959,Andy Blignaut,10.0,India,0,54,1,5.4,27,4,0,5,0,54.0,60,60.0,0,1/54
England VS Namibia,ODI # 1959,Douglas Hondo,9.0,India,1,56,1,6.22,30,7,1,0,0,56.0,54,54.0,0,1/56
England VS Namibia,ODI # 1959,Guy Whittall,6.0,India,0,37,1,6.16,20,5,0,0,0,37.0,36,36.0,0,1/37
England VS Namibia,ODI # 1959,Grant Flower,6.0,India,0,14,2,2.33,23,0,0,1,0,7.0,36,18.0,0,2/14
England VS Namibia,ODI # 1959,Brian Murphy,10.0,India,0,40,1,4.0,30,0,1,2,0,40.0,60,60.0,0,1/40
England VS Namibia,ODI # 1959,Javagal Srinath,8.0,Zimbabwe,1,14,2,1.75,36,0,0,0,0,7.0,48,24.0,0,2/14
England VS Namibia,ODI # 1959,Zaheer Khan,7.4,Zimbabwe,0,23,2,3.0,34,2,0,3,1,11.5,46,23.0,0,2/23
England VS Namibia,ODI # 1959,Ashish Nehra,7.0,Zimbabwe,0,35,0,5.0,20,3,0,0,1,0.0,42,0.0,0,0/35
England VS Namibia,ODI # 1959,Harbhajan Singh,10.0,Zimbabwe,0,42,2,4.2,29,2,0,2,0,21.0,60,30.0,0,2/42
England VS Namibia,ODI # 1959,Sourav Ganguly,5.0,Zimbabwe,1,22,3,4.4,17,1,0,0,0,7.33,30,10.0,0,3/22
England VS Namibia,ODI # 1959,Virender Sehwag,3.0,Zimbabwe,0,14,1,4.66,5,0,0,0,0,14.0,18,18.0,0,1/14
England VS Namibia,ODI # 1959,Dinesh Mongia,4.0,Zimbabwe,0,16,0,4.0,13,1,0,0,0,0.0,24,0.0,0,0/16
Zimbabwe VS India,ODI # 1957,Manjurul Islam,10.0,West Indies,0,62,3,6.2,39,6,3,4,0,20.67,60,20.0,0,3/62
Zimbabwe VS India,ODI # 1957,Talha Jubair,8.0,West Indies,0,46,0,5.75,31,3,1,5,6,0.0,48,0.0,0,0/46
Zimbabwe VS India,ODI # 1957,Khaled Mahmud,10.0,West Indies,1,48,2,4.8,32,4,1,0,1,24.0,60,30.0,0,2/48
Zimbabwe VS India,ODI # 1957,Ehsanul Hoque,10.0,West Indies,0,34,2,3.4,32,1,0,1,0,17.0,60,30.0,0,2/34
Zimbabwe VS India,ODI # 1957,Mohammad Rafique,10.0,West Indies,0,44,0,4.4,29,2,1,0,0,0.0,60,0.0,0,0/44
Zimbabwe VS India,ODI # 1957,Alok Kapali,2.0,West Indies,1,3,1,1.5,9,0,0,0,0,3.0,12,12.0,0,1/3
Zimbabwe VS India,ODI # 1957,Mervyn Dillon,4.1,Bangladesh,0,13,1,3.12,18,0,0,3,0,13.0,25,25.0,0,1/13
Zimbabwe VS India,ODI # 1957,Vasbert Drakes,4.0,Bangladesh,1,17,1,4.25,18,3,0,0,0,17.0,24,24.0,0,1/17
Bangladesh VS West Indies,ODI # 1956,Andy Caddick,10.0,Netherlands,4,19,0,1.9,53,2,0,1,2,0.0,60,0.0,0,0/19
Bangladesh VS West Indies,ODI # 1956,James Anderson,10.0,Netherlands,1,25,4,2.5,50,3,0,1,0,6.25,60,15.0,0,4/25
Bangladesh VS West Indies,ODI # 1956,Andrew Flintoff,10.0,Netherlands,2,29,1,2.9,46,4,0,1,0,29.0,60,60.0,0,1/29
Bangladesh VS West Indies,ODI # 1956,Craig White,10.0,Netherlands,3,22,2,2.2,44,1,0,0,0,11.0,60,30.0,0,2/22
Bangladesh VS West Indies,ODI # 1956,Ian Blackwell,10.0,Netherlands,0,37,2,3.7,38,4,0,1,0,18.5,60,30.0,0,2/37
Bangladesh VS West Indies,ODI # 1956,Edgar Schiferli,5.0,England,0,33,1,6.6,17,5,0,2,0,33.0,30,30.0,0,1/33
Bangladesh VS West Indies,ODI # 1956,Roland Lefebvre,5.0,England,0,18,0,3.6,21,2,0,1,0,0.0,30,0.0,0,0/18
Bangladesh VS West Indies,ODI # 1956,Tim de Leede,4.0,England,0,29,0,7.25,11,5,0,0,0,0.0,24,0.0,0,0/29
Bangladesh VS West Indies,ODI # 1956,Adeel Raja,5.0,England,0,34,0,6.8,13,5,0,0,0,0.0,30,0.0,0,0/34
Bangladesh VS West Indies,ODI # 1956,Daan van Bunge,3.0,England,0,16,3,5.33,14,4,0,0,0,5.33,18,6.0,0,3/16
Bangladesh VS West Indies,ODI # 1956,Feiko Kloppenburg,1.2,England,0,14,0,10.5,3,3,0,0,0,0.0,8,0.0,0,0/14
England VS Netherlands,ODI # 1953,Gerrie Snyman,8.0,Pakistan,0,51,2,6.37,27,7,0,4,1,25.5,48,24.0,0,2/51
England VS Netherlands,ODI # 1953,Rudi van Vuuren,10.0,Pakistan,1,47,0,4.7,33,5,0,1,0,0.0,60,0.0,0,0/47
England VS Netherlands,ODI # 1953,Bjorn Kotze,10.0,Pakistan,1,51,2,5.1,31,5,0,3,0,25.5,60,30.0,0,2/51
England VS Netherlands,ODI # 1953,Louis Burger,10.0,Pakistan,0,45,1,4.5,32,3,0,2,0,45.0,60,60.0,0,1/45
England VS Netherlands,ODI # 1953,Deon Kotze,8.0,Pakistan,0,32,1,4.0,21,1,0,0,0,32.0,48,48.0,0,1/32
England VS Netherlands,ODI # 1953,Jan-Berrie Burger,4.0,Pakistan,0,18,1,4.5,12,1,0,0,0,18.0,24,24.0,0,1/18
England VS Netherlands,ODI # 1953,Wasim Akram,9.0,Namibia,1,28,5,3.11,39,3,0,2,2,5.6,54,10.8,1,5/28
England VS Netherlands,ODI # 1953,Shoaib Akhtar,8.0,Namibia,1,46,4,5.75,31,4,0,2,2,11.5,48,12.0,0,4/46
England VS Netherlands,ODI # 1953,Saqlain Mushtaq,0.4,Namibia,0,1,1,1.5,3,0,0,0,0,1.0,4,4.0,0,1/1
Namibia VS Pakistan,ODI # 1954,Shane Bond,10.0,South Africa,0,73,1,7.3,28,11,0,3,2,73.0,60,60.0,0,1/73
Namibia VS Pakistan,ODI # 1954,Andre Adams,9.0,South Africa,0,57,1,6.33,33,8,1,4,0,57.0,54,54.0,0,1/57
Namibia VS Pakistan,ODI # 1954,Jacob Oram,8.0,South Africa,0,52,2,6.5,26,6,1,3,1,26.0,48,24.0,0,2/52
Namibia VS Pakistan,ODI # 1954,Scott Styris,10.0,South Africa,0,44,1,4.4,36,4,1,1,0,44.0,60,60.0,0,1/44
Namibia VS Pakistan,ODI # 1954,Daniel Vettori,10.0,South Africa,0,58,1,5.8,25,4,2,0,0,58.0,60,60.0,0,1/58
Namibia VS Pakistan,ODI # 1954,Nathan Astle,3.0,South Africa,0,16,0,5.33,6,1,0,0,0,0.0,18,0.0,0,0/16
Namibia VS Pakistan,ODI # 1954,Shaun Pollock,8.0,New Zealand,0,36,0,4.5,26,4,0,0,0,0.0,48,0.0,0,0/36
Namibia VS Pakistan,ODI # 1954,Makhaya Ntini,8.0,New Zealand,1,33,0,4.12,31,4,0,3,0,0.0,48,0.0,0,0/33
Namibia VS Pakistan,ODI # 1954,Allan Donald,5.5,New Zealand,0,52,1,8.91,16,6,1,3,0,52.0,35,35.0,0,1/52
Namibia VS Pakistan,ODI # 1954,Jacques Kallis,8.0,New Zealand,0,47,0,5.87,23,5,0,1,0,0.0,48,0.0,0,0/47
Namibia VS Pakistan,ODI # 1954,Nicky Boje,2.0,New Zealand,0,16,0,8.0,3,2,0,1,0,0.0,12,0.0,0,0/16
Namibia VS Pakistan,ODI # 1954,Lance Klusener,5.0,New Zealand,0,37,0,7.4,10,5,0,0,0,0.0,30,0.0,0,0/37
South Africa VS New Zealand,ODI # 1955,Martin Suji,7.0,Canada,1,23,0,3.28,32,2,1,0,0,0.0,42,0.0,0,0/23
South Africa VS New Zealand,ODI # 1955,Thomas Odoyo,10.0,Canada,1,28,4,2.8,49,3,1,2,0,7.0,60,15.0,0,4/28
South Africa VS New Zealand,ODI # 1955,Peter Ongondo,6.0,Canada,1,12,1,2.0,30,1,0,1,1,12.0,36,36.0,0,1/12
South Africa VS New Zealand,ODI # 1955,Collins Obuya,10.0,Canada,1,46,2,4.6,39,6,1,1,0,23.0,60,30.0,0,2/46
South Africa VS New Zealand,ODI # 1955,Maurice Odumbe,9.0,Canada,0,41,2,4.55,29,3,1,0,0,20.5,54,27.0,0,2/41
South Africa VS New Zealand,ODI # 1955,Tony Suji,7.0,Canada,0,45,1,6.42,17,2,2,1,0,45.0,42,42.0,0,1/45
South Africa VS New Zealand,ODI # 1955,Davis Joseph,10.0,Kenya,1,39,0,3.9,45,5,0,3,0,0.0,60,0.0,0,0/39
South Africa VS New Zealand,ODI # 1955,Sanjayan Thuraisingam,10.0,Kenya,1,53,2,5.3,36,6,0,2,0,26.5,60,30.0,0,2/53
South Africa VS New Zealand,ODI # 1955,Austin Codrington,10.0,Kenya,1,44,1,4.4,40,6,0,1,0,44.0,60,60.0,0,1/44
South Africa VS New Zealand,ODI # 1955,John Davison,10.0,Kenya,3,15,3,1.5,51,0,0,3,0,5.0,60,20.0,0,3/15
South Africa VS New Zealand,ODI # 1955,Nicholas de Groot,4.0,Kenya,0,22,0,5.5,14,2,1,0,0,0.0,24,0.0,0,0/22
South Africa VS New Zealand,ODI # 1955,Ishwar Maraj,4.3,Kenya,0,22,0,4.88,15,3,0,0,0,0.0,27,0.0,0,0/22
Canada VS Kenya,ODI # 1952,Glenn McGrath,8.0,India,3,23,1,2.87,38,3,0,0,0,23.0,48,48.0,0,1/23
Canada VS Kenya,ODI # 1952,Brett Lee,9.0,India,1,36,3,4.0,42,5,1,3,1,12.0,54,18.0,0,3/36
Canada VS Kenya,ODI # 1952,Jason Gillespie,10.0,India,2,13,3,1.3,48,0,0,1,0,4.33,60,20.0,0,3/13
Canada VS Kenya,ODI # 1952,Andrew Symonds,6.0,India,0,25,0,4.16,23,1,0,4,0,0.0,36,0.0,0,0/25
Canada VS Kenya,ODI # 1952,Brad Hogg,4.4,India,0,16,1,3.42,19,2,0,0,0,16.0,28,28.0,0,1/16
Canada VS Kenya,ODI # 1952,Darren Lehmann,4.0,India,0,7,1,1.75,17,0,0,0,0,7.0,24,24.0,0,1/7
Canada VS Kenya,ODI # 1952,Javagal Srinath,4.0,Australia,0,26,0,6.5,13,1,1,1,0,0.0,24,0.0,0,0/26
Canada VS Kenya,ODI # 1952,Zaheer Khan,4.0,Australia,0,26,0,6.5,13,3,0,1,0,0.0,24,0.0,0,0/26
Canada VS Kenya,ODI # 1952,Harbhajan Singh,7.2,Australia,0,49,0,6.68,22,5,1,1,0,0.0,44,0.0,0,0/49
Canada VS Kenya,ODI # 1952,Anil Kumble,7.0,Australia,0,24,1,3.42,27,2,0,1,0,24.0,42,42.0,0,1/24
Australia VS India,ODI # 1951,Chaminda Vaas,9.1,Bangladesh,2,25,6,2.72,43,2,0,2,0,4.17,55,9.17,1,6/25
Australia VS India,ODI # 1951,Prabath Nissanka,5.0,Bangladesh,0,22,0,4.4,20,1,0,2,2,0.0,30,0.0,0,0/22
Australia VS India,ODI # 1951,Dilhara Fernando,7.0,Bangladesh,0,47,1,6.71,23,5,1,4,1,47.0,42,42.0,0,1/47
Australia VS India,ODI # 1951,Muthiah Muralidaran,10.0,Bangladesh,4,25,3,2.5,50,2,1,0,0,8.33,60,20.0,0,3/25
Australia VS India,ODI # 1951,Manjurul Islam,6.0,Sri Lanka,1,22,0,3.66,25,3,0,0,0,0.0,36,0.0,0,0/22
Australia VS India,ODI # 1951,Mashrafe Mortaza,5.0,Sri Lanka,0,38,0,7.6,18,8,0,1,0,0.0,30,0.0,0,0/38
Australia VS India,ODI # 1951,Tapash Baisya,3.0,Sri Lanka,0,21,0,7.0,8,2,0,0,1,0.0,18,0.0,0,0/21
Australia VS India,ODI # 1951,Mohammad Rafique,4.1,Sri Lanka,1,22,0,5.28,16,3,0,0,0,0.0,25,0.0,0,0/22
Australia VS India,ODI # 1951,Sanuar Hossain,2.0,Sri Lanka,0,14,0,7.0,4,2,0,0,0,0.0,12,0.0,0,0/14
Australia VS India,ODI # 1951,Alok Kapali,1.0,Sri Lanka,0,9,0,9.0,2,0,1,0,0,0.0,6,0.0,0,0/9
Bangladesh VS Sri Lanka,ODI # 1950,Mervyn Dillon,10.0,New Zealand,1,30,1,3.0,44,2,1,1,0,30.0,60,60.0,0,1/30
Bangladesh VS Sri Lanka,ODI # 1950,Nixon McLean,6.0,New Zealand,0,38,0,6.33,20,7,0,1,0,0.0,36,0.0,0,0/38
Bangladesh VS Sri Lanka,ODI # 1950,Vasbert Drakes,10.0,New Zealand,1,49,2,4.9,35,4,1,0,2,24.5,60,30.0,0,2/49
Bangladesh VS Sri Lanka,ODI # 1950,Wavell Hinds,10.0,New Zealand,0,35,3,3.5,33,2,0,0,0,11.67,60,20.0,0,3/35
Bangladesh VS Sri Lanka,ODI # 1950,Carl Hooper,9.0,New Zealand,0,42,0,4.66,22,3,0,0,0,0.0,54,0.0,0,0/42
Bangladesh VS Sri Lanka,ODI # 1950,Chris Gayle,5.0,New Zealand,0,37,1,7.4,12,1,2,2,0,37.0,30,30.0,0,1/37
Bangladesh VS Sri Lanka,ODI # 1950,Shane Bond,10.0,West Indies,2,43,0,4.3,38,4,0,2,0,0.0,60,0.0,0,0/43
Bangladesh VS Sri Lanka,ODI # 1950,Andre Adams,9.4,West Indies,1,44,4,4.55,37,6,0,1,0,11.0,58,14.5,0,4/44
Bangladesh VS Sri Lanka,ODI # 1950,Jacob Oram,10.0,West Indies,2,26,2,2.6,44,2,0,0,0,13.0,60,30.0,0,2/26
Bangladesh VS Sri Lanka,ODI # 1950,Chris Cairns,1.0,West Indies,0,21,0,21.0,2,3,1,1,1,0.0,6,0.0,0,0/21
Bangladesh VS Sri Lanka,ODI # 1950,Daniel Vettori,10.0,West Indies,0,38,1,3.8,29,1,0,0,0,38.0,60,60.0,0,1/38
Bangladesh VS Sri Lanka,ODI # 1950,Nathan Astle,4.0,West Indies,0,14,0,3.5,13,1,0,0,0,0.0,24,0.0,0,0/14
Bangladesh VS Sri Lanka,ODI # 1950,Scott Styris,5.0,West Indies,0,31,1,6.2,15,2,1,1,0,31.0,30,30.0,0,1/31
New Zealand VS West Indies,ODI # 1949,Shaun Pollock,6.0,Kenya,2,15,2,2.5,31,1,0,1,2,7.5,36,18.0,0,2/15
New Zealand VS West Indies,ODI # 1949,Makhaya Ntini,7.0,Kenya,1,14,1,2.0,33,0,0,1,0,14.0,42,42.0,0,1/14
New Zealand VS West Indies,ODI # 1949,Jacques Kallis,3.0,Kenya,0,23,0,7.66,10,4,0,0,0,0.0,18,0.0,0,0/23
New Zealand VS West Indies,ODI # 1949,Charl Langeveldt,5.0,Kenya,0,24,0,4.8,19,2,0,0,1,0.0,30,0.0,0,0/24
New Zealand VS West Indies,ODI # 1949,Nicky Boje,9.0,Kenya,1,44,1,4.88,32,3,2,0,0,44.0,54,54.0,0,1/44
New Zealand VS West Indies,ODI # 1949,Lance Klusener,8.0,Kenya,2,16,4,2.0,39,0,0,1,1,4.0,48,12.0,0,4/16
New Zealand VS West Indies,ODI # 1949,Martin Suji,4.0,South Africa,0,21,0,5.25,18,4,0,1,0,0.0,24,0.0,0,0/21
New Zealand VS West Indies,ODI # 1949,Thomas Odoyo,6.0,South Africa,1,34,0,5.66,22,6,0,1,0,0.0,36,0.0,0,0/34
New Zealand VS West Indies,ODI # 1949,Aasif Karim,2.0,South Africa,0,17,0,8.5,7,2,1,0,0,0.0,12,0.0,0,0/17
