VS,Match Id,Player,Overs,Teaminnings,Mins,Given Runs,Wickets,ECON,Dot Balls,Fours,Sixs,Wides,No Balls,Bowling Average,Balls,Strike Rate,Five Wicket Hauls,Bowling Figure
England VS Canada,ODI # 67,Mohinder Amarnath,7.3,West Indies,0,35,0,4.66,0,0,0,0,0,0.0,45,0.0,0,0/35
India VS West Indies,ODI # 61,Richard Hadlee,12.0,Sri Lanka,3,24,1,2.0,0,0,0,0,0,24.0,72,72.0,0,1/24
India VS West Indies,ODI # 61,Gary Troup,10.0,Sri Lanka,0,30,1,3.0,0,0,0,0,0,30.0,60,60.0,0,1/30
India VS West Indies,ODI # 61,Lance Cairns,12.0,Sri Lanka,1,45,1,3.75,0,0,0,0,0,45.0,72,72.0,0,1/45
India VS West Indies,ODI # 61,Brian McKechnie,10.5,Sri Lanka,2,25,3,2.3,0,0,0,0,0,8.33,65,21.67,0,3/25
India VS West Indies,ODI # 61,Warren Stott,12.0,Sri Lanka,1,48,3,4.0,0,0,0,0,0,16.0,72,24.0,0,3/48
India VS West Indies,ODI # 61,Tony Opatha,7.0,New Zealand,1,31,0,4.42,0,0,0,0,0,0.0,42,0.0,0,0/31
India VS West Indies,ODI # 61,Stanley De Silva,8.0,New Zealand,2,18,0,2.25,0,0,0,0,0,0.0,48,0.0,0,0/18
India VS West Indies,ODI # 61,Bandula Warnapura,7.0,New Zealand,0,30,0,4.28,0,0,0,0,0,0.0,42,0.0,0,0/30
India VS West Indies,ODI # 61,Somachandra De Silva,9.0,New Zealand,0,42,0,4.66,0,0,0,0,0,0.0,54,0.0,0,0/42
India VS West Indies,ODI # 61,Ajit de Silva,12.0,New Zealand,1,39,1,3.25,0,0,0,0,0,39.0,72,72.0,0,1/39
India VS West Indies,ODI # 61,Sudath Pasqual,4.4,New Zealand,0,20,0,4.28,0,0,0,0,0,0.0,28,0.0,0,0/20
New Zealand VS Sri Lanka,ODI # 62,Bob Willis,11.0,Australia,2,20,1,1.81,0,0,0,0,0,20.0,66,66.0,0,1/20
New Zealand VS Sri Lanka,ODI # 62,Mike Hendrick,12.0,Australia,2,24,0,2.0,0,0,0,0,0,0.0,72,0.0,0,0/24
New Zealand VS Sri Lanka,ODI # 62,Chris Old,12.0,Australia,2,33,1,2.75,0,0,0,0,0,33.0,72,72.0,0,1/33
New Zealand VS Sri Lanka,ODI # 62,Ian Botham,8.0,Australia,0,32,0,4.0,0,0,0,0,0,0.0,48,0.0,0,0/32
New Zealand VS Sri Lanka,ODI # 62,Phil Edmonds,11.0,Australia,1,25,1,2.27,0,0,0,0,0,25.0,66,66.0,0,1/25
New Zealand VS Sri Lanka,ODI # 62,Geoff Boycott,6.0,Australia,0,15,2,2.5,0,0,0,0,0,7.5,36,18.0,0,2/15
New Zealand VS Sri Lanka,ODI # 62,Rodney Hogg,9.0,England,1,25,1,2.77,0,0,0,0,0,25.0,54,54.0,0,1/25
New Zealand VS Sri Lanka,ODI # 62,Alan Hurst,10.0,England,3,33,1,3.3,0,0,0,0,0,33.0,60,60.0,0,1/33
New Zealand VS Sri Lanka,ODI # 62,Geoff Dymock,11.0,England,2,19,0,1.72,0,0,0,0,0,0.0,66,0.0,0,0/19
New Zealand VS Sri Lanka,ODI # 62,Gary Cosier,8.0,England,1,24,0,3.0,0,0,0,0,0,0.0,48,0.0,0,0/24
New Zealand VS Sri Lanka,ODI # 62,Trevor Laughlin,9.1,England,0,38,2,4.14,0,0,0,0,0,19.0,55,27.5,0,2/38
England VS Australia,ODI # 63,Imran Khan,11.0,Canada,1,27,1,2.45,0,0,0,0,0,27.0,66,66.0,0,1/27
England VS Australia,ODI # 63,Sarfraz Nawaz,10.0,Canada,1,26,3,2.6,0,0,0,0,0,8.67,60,20.0,0,3/26
England VS Australia,ODI # 63,Mudassar Nazar,4.0,Canada,1,11,0,2.75,0,0,0,0,0,0.0,24,0.0,0,0/11
England VS Australia,ODI # 63,Sikander Bakht,12.0,Canada,5,18,1,1.5,0,0,0,0,0,18.0,72,72.0,0,1/18
England VS Australia,ODI # 63,Majid Khan,11.0,Canada,4,11,1,1.0,0,0,0,0,0,11.0,66,66.0,0,1/11
England VS Australia,ODI # 63,Asif Iqbal,12.0,Canada,2,28,3,2.33,0,0,0,0,0,9.33,72,24.0,0,3/28
England VS Australia,ODI # 63,John Valentine,9.0,Pakistan,3,18,1,2.0,0,0,0,0,0,18.0,54,54.0,0,1/18
England VS Australia,ODI # 63,John Vaughan,5.0,Pakistan,1,21,0,4.2,0,0,0,0,0,0.0,30,0.0,0,0/21
England VS Australia,ODI # 63,Cornelius Henry,5.0,Pakistan,0,26,0,5.2,0,0,0,0,0,0.0,30,0.0,0,0/26
England VS Australia,ODI # 63,Jitendra Patel,11.1,Pakistan,0,27,0,2.41,0,0,0,0,0,0.0,67,0.0,0,0/27
England VS Australia,ODI # 63,Glenroy Sealy,6.0,Pakistan,0,21,0,3.5,0,0,0,0,0,0.0,36,0.0,0,0/21
England VS Australia,ODI # 63,Martin Stead,4.0,Pakistan,0,18,0,4.5,0,0,0,0,0,0.0,24,0.0,0,0/18
Canada VS Pakistan,ODI # 64,Andy Roberts,10.0,India,3,32,3,3.2,0,0,0,0,0,10.67,60,20.0,0,3/32
Canada VS Pakistan,ODI # 64,Joel Garner,12.0,India,4,24,1,2.0,0,0,0,0,0,24.0,72,72.0,0,1/24
Canada VS Pakistan,ODI # 64,Malcolm Marshall,11.0,India,1,24,2,2.18,0,0,0,0,0,12.0,66,33.0,0,2/24
Canada VS Pakistan,ODI # 64,Michael Holding,9.4,India,2,26,2,2.68,0,0,0,0,0,13.0,58,29.0,0,2/26
Canada VS Pakistan,ODI # 64,Larry Gomes,11.0,India,1,49,2,4.45,0,0,0,0,0,24.5,66,33.0,0,2/49
Canada VS Pakistan,ODI # 64,Viv Richards,1.0,India,0,8,0,8.0,0,0,0,0,0,0.0,6,0.0,0,0/8
Canada VS Pakistan,ODI # 64,Kapil Dev,11.0,West Indies,4,21,1,1.9,0,0,0,0,0,21.0,66,66.0,0,1/21
Canada VS Pakistan,ODI # 64,Balwinder Sandhu,9.0,West Indies,1,32,2,3.55,0,0,0,0,0,16.0,54,27.0,0,2/32
Canada VS Pakistan,ODI # 64,Madan Lal,12.0,West Indies,2,31,3,2.58,0,0,0,0,0,10.33,72,24.0,0,3/31
Canada VS Pakistan,ODI # 64,Roger Binny,10.0,West Indies,1,23,1,2.3,0,0,0,0,0,23.0,60,60.0,0,1/23
Canada VS Pakistan,ODI # 64,Mohinder Amarnath,7.0,West Indies,0,12,3,1.71,0,0,0,0,0,4.0,42,14.0,0,3/12
Canada VS Pakistan,ODI # 64,Kirti Azad,3.0,West Indies,0,7,0,2.33,0,0,0,0,0,0.0,18,0.0,0,0/7
India VS West Indies,ODI # 223,Kapil Dev,11.0,England,1,35,3,3.18,0,0,0,0,0,11.67,66,22.0,0,3/35
India VS West Indies,ODI # 223,Balwinder Sandhu,8.0,England,1,36,0,4.5,0,0,0,0,0,0.0,48,0.0,0,0/36
India VS West Indies,ODI # 223,Roger Binny,12.0,England,1,43,2,3.58,0,0,0,0,0,21.5,72,36.0,0,2/43
India VS West Indies,ODI # 223,Madan Lal,5.0,England,0,15,0,3.0,0,0,0,0,0,0.0,30,0.0,0,0/15
India VS West Indies,ODI # 223,Kirti Azad,12.0,England,1,28,1,2.33,0,0,0,0,0,28.0,72,72.0,0,1/28
India VS West Indies,ODI # 223,Mohinder Amarnath,12.0,England,1,27,2,2.25,0,0,0,0,0,13.5,72,36.0,0,2/27
